Country,Outcome,Group,Predictor_Set,Min_Obs,Rep,Sample_Size,SuperLearner
AUSTRALIA,adcont,all,famincedu,1,1,2512,0.1453216420222612
AUSTRALIA,adcont,all,famincedu,1,2,2512,0.14682748798480594
AUSTRALIA,adcont,all,famincedu,1,3,2512,0.14830242540464347
GERMANY,adcont,all,famincedu,1,1,2765,0.126958354388282
GERMANY,adcont,all,famincedu,1,2,2765,0.12541966626506715
GERMANY,adcont,all,famincedu,1,3,2765,0.12837518668623532
KOREA,adcont,all,famincedu,1,1,2126,0.17759090557774657
KOREA,adcont,all,famincedu,1,2,2126,0.17765975091887493
KOREA,adcont,all,famincedu,1,3,2126,0.17646339379630308
UK,adcont,all,famincedu,1,1,1843,0.09209039103660129
UK,adcont,all,famincedu,1,2,1843,0.08934579196359352
UK,adcont,all,famincedu,1,3,1843,0.09683314817072035
USA,adcont,all,famincedu,1,1,11518,0.29708162592932547
USA,adcont,all,famincedu,1,2,11518,0.29720562461589783
USA,adcont,all,famincedu,1,3,11518,0.2977962713199111
