Country,Outcome,Group,Predictor_Set,Min_Obs,Rep,Sample_Size,SuperLearner
AUSTRALIA,adcont,all,predictors010,1,1,2512,0.1855537703235805
AUSTRALIA,adcont,all,predictors010,1,2,2512,0.18550109547396165
AUSTRALIA,adcont,all,predictors010,1,3,2512,0.17949628379057242
GERMANY,adcont,all,predictors010,1,1,2765,0.2708315124905378
GERMANY,adcont,all,predictors010,1,2,2765,0.26510394682744404
GERMANY,adcont,all,predictors010,1,3,2765,0.27194085863003786
KOREA,adcont,all,predictors010,1,1,2126,0.18345951529854493
KOREA,adcont,all,predictors010,1,2,2126,0.18554631873964353
KOREA,adcont,all,predictors010,1,3,2126,0.18869198484365632
UK,adcont,all,predictors010,1,1,1843,0.10875242621761494
UK,adcont,all,predictors010,1,2,1843,0.11051787648726918
UK,adcont,all,predictors010,1,3,1843,0.11080209016856882
USA,adcont,all,predictors010,1,1,11518,0.3190364235455517
USA,adcont,all,predictors010,1,2,11518,0.3147548719682014
USA,adcont,all,predictors010,1,3,11518,0.3156467314368452
