Country,Outcome,Group,Predictor_Set,Min_Obs,Rep,Sample_Size,SuperLearner
AUSTRALIA,bottom50,childtop20,famincedu,1,1,529,-0.006678831511194305
AUSTRALIA,bottom50,childtop20,famincedu,1,2,529,0.0031572624994478326
AUSTRALIA,bottom50,childtop20,famincedu,1,3,529,0.002367901364077584
GERMANY,bottom50,childtop20,famincedu,1,1,717,0.006514435011329001
GERMANY,bottom50,childtop20,famincedu,1,2,717,-0.006002294173079379
GERMANY,bottom50,childtop20,famincedu,1,3,717,0.003723494375440062
KOREA,bottom50,childtop20,famincedu,1,1,411,0.010005694070379014
KOREA,bottom50,childtop20,famincedu,1,2,411,0.002644527377923802
KOREA,bottom50,childtop20,famincedu,1,3,411,-1.2629079001158505e-4
UK,bottom50,childtop20,famincedu,1,1,584,0.017398654519206545
UK,bottom50,childtop20,famincedu,1,2,584,0.024545486946089046
UK,bottom50,childtop20,famincedu,1,3,584,0.01206426392169144
USA,bottom50,childtop20,famincedu,1,1,2245,0.03282047238124499
USA,bottom50,childtop20,famincedu,1,2,2245,0.03467500351557538
USA,bottom50,childtop20,famincedu,1,3,2245,0.039380309758251
