Country,Outcome,Group,Predictor_Set,Min_Obs,Rep,Sample_Size,SuperLearner
AUSTRALIA,bottom50,childtop20,predictors017,1,1,529,0.05238237164114965
AUSTRALIA,bottom50,childtop20,predictors017,1,2,529,0.06067754630741602
AUSTRALIA,bottom50,childtop20,predictors017,1,3,529,0.06767648302945997
GERMANY,bottom50,childtop20,predictors017,1,1,717,0.20980103357436308
GERMANY,bottom50,childtop20,predictors017,1,2,717,0.22744597334485864
GERMANY,bottom50,childtop20,predictors017,1,3,717,0.20888004162347573
KOREA,bottom50,childtop20,predictors017,1,1,411,0.01931820035956855
KOREA,bottom50,childtop20,predictors017,1,2,411,0.042420053394961355
KOREA,bottom50,childtop20,predictors017,1,3,411,0.011221268382172744
UK,bottom50,childtop20,predictors017,1,1,584,0.059835697561703774
UK,bottom50,childtop20,predictors017,1,2,584,0.05214974565449111
UK,bottom50,childtop20,predictors017,1,3,584,0.06950909052986103
USA,bottom50,childtop20,predictors017,1,1,2245,0.07389367028481882
USA,bottom50,childtop20,predictors017,1,2,2245,0.08240221582539628
USA,bottom50,childtop20,predictors017,1,3,2245,0.0740902697487946
