Country,Outcome,Group,Predictor_Set,Min_Obs,Rep,Sample_Size,SuperLearner
AUSTRALIA,education,all,predictors010,1,1,2418,0.18935197107238005
AUSTRALIA,education,all,predictors010,1,2,2418,0.19870306051093758
AUSTRALIA,education,all,predictors010,1,3,2418,0.18716241970931424
GERMANY,education,all,predictors010,1,1,2331,0.2610170131750538
GERMANY,education,all,predictors010,1,2,2331,0.25966535382580863
GERMANY,education,all,predictors010,1,3,2331,0.2593080066494515
KOREA,education,all,predictors010,1,1,2126,0.11133216750720268
KOREA,education,all,predictors010,1,2,2126,0.11667294500846219
KOREA,education,all,predictors010,1,3,2126,0.11387302832810334
USA,education,all,predictors010,1,1,11461,0.30023861303489585
USA,education,all,predictors010,1,2,11461,0.2985627378727572
USA,education,all,predictors010,1,3,11461,0.30180534696334177
