Country,Outcome,Group,Predictor_Set,Min_Obs,Rep,Sample_Size,SuperLearner
AUSTRALIA,poverty,all,famincedu,1,1,2512,0.05799223123900603
AUSTRALIA,poverty,all,famincedu,1,2,2512,0.05931718750758419
AUSTRALIA,poverty,all,famincedu,1,3,2512,0.05446845450364677
GERMANY,poverty,all,famincedu,1,1,2765,0.018280897400544217
GERMANY,poverty,all,famincedu,1,2,2765,0.012838249010879179
GERMANY,poverty,all,famincedu,1,3,2765,0.019712063600961626
KOREA,poverty,all,famincedu,1,1,2126,0.044039657469124284
KOREA,poverty,all,famincedu,1,2,2126,0.049561911865683594
KOREA,poverty,all,famincedu,1,3,2126,0.04237151247032793
UK,poverty,all,famincedu,1,1,1843,-9.784879836072235e-6
UK,poverty,all,famincedu,1,2,1843,0.00544438735330417
UK,poverty,all,famincedu,1,3,1843,0.0068198751651696865
USA,poverty,all,famincedu,1,1,11518,0.18786258525046565
USA,poverty,all,famincedu,1,2,11518,0.18824345497917655
USA,poverty,all,famincedu,1,3,11518,0.18812285894800013
