Country,Outcome,Group,Predictor_Set,Min_Obs,Rep,Sample_Size,SuperLearner
AUSTRALIA,poverty,all,predictors017,1,1,2512,0.08588604071893091
AUSTRALIA,poverty,all,predictors017,1,2,2512,0.08097171941312445
AUSTRALIA,poverty,all,predictors017,1,3,2512,0.07383214114309986
GERMANY,poverty,all,predictors017,1,1,2765,0.07704732276757338
GERMANY,poverty,all,predictors017,1,2,2765,0.08163479344112035
GERMANY,poverty,all,predictors017,1,3,2765,0.0757635838528119
KOREA,poverty,all,predictors017,1,1,2126,0.07901253133900969
KOREA,poverty,all,predictors017,1,2,2126,0.08051898720165443
KOREA,poverty,all,predictors017,1,3,2126,0.08339632985933103
UK,poverty,all,predictors017,1,1,1843,0.02343665069802927
UK,poverty,all,predictors017,1,2,1843,0.02798386970849189
UK,poverty,all,predictors017,1,3,1843,0.029165375511446066
USA,poverty,all,predictors017,1,1,11518,0.2215103639613304
USA,poverty,all,predictors017,1,2,11518,0.22233267482902336
USA,poverty,all,predictors017,1,3,11518,0.22351141709901567
