Country,Outcome,Group,Predictor_Set,Min_Obs,Rep,Sample_Size,SuperLearner
AUSTRALIA,poverty,childbottom20,famincedu,1,1,505,0.009873098990853823
AUSTRALIA,poverty,childbottom20,famincedu,1,2,505,0.0024848618102337283
AUSTRALIA,poverty,childbottom20,famincedu,1,3,505,0.004616043122970172
GERMANY,poverty,childbottom20,famincedu,1,1,443,0.015227250751348611
GERMANY,poverty,childbottom20,famincedu,1,2,443,0.0420603251357472
GERMANY,poverty,childbottom20,famincedu,1,3,443,0.031815123929725964
KOREA,poverty,childbottom20,famincedu,1,1,420,0.002436017611176755
KOREA,poverty,childbottom20,famincedu,1,2,420,-0.003243064317522415
KOREA,poverty,childbottom20,famincedu,1,3,420,7.76976944195362e-4
UK,poverty,childbottom20,famincedu,1,1,325,0.0037094911127762754
UK,poverty,childbottom20,famincedu,1,2,325,0.0021259356688605457
UK,poverty,childbottom20,famincedu,1,3,325,-0.018063973502962294
USA,poverty,childbottom20,famincedu,1,1,2274,0.023586093888670258
USA,poverty,childbottom20,famincedu,1,2,2274,0.025259169730943266
USA,poverty,childbottom20,famincedu,1,3,2274,0.02401443346649481
