Country,Outcome,Group,Predictor_Set,Min_Obs,Rep,Sample_Size,SuperLearner
AUSTRALIA,top10,all,famincedu,1,1,2512,0.035548957707385795
AUSTRALIA,top10,all,famincedu,1,2,2512,0.04311613316085243
AUSTRALIA,top10,all,famincedu,1,3,2512,0.04204878410121693
GERMANY,top10,all,famincedu,1,1,2765,0.09798136118979965
GERMANY,top10,all,famincedu,1,2,2765,0.09634711547253816
GERMANY,top10,all,famincedu,1,3,2765,0.0954240971859955
KOREA,top10,all,famincedu,1,1,2126,0.1211443281308165
KOREA,top10,all,famincedu,1,2,2126,0.12845490297629625
KOREA,top10,all,famincedu,1,3,2126,0.12209435649568816
UK,top10,all,famincedu,1,1,2528,0.056434284617128475
UK,top10,all,famincedu,1,2,2528,0.04781287755048238
UK,top10,all,famincedu,1,3,2528,0.04158344002702645
USA,top10,all,famincedu,1,1,11519,0.1269803941488234
USA,top10,all,famincedu,1,2,11519,0.12623591552694682
USA,top10,all,famincedu,1,3,11519,0.12654184214974049
