Country,Outcome,Group,Predictor_Set,Min_Obs,Rep,Sample_Size,SuperLearner
AUSTRALIA,top10,all,predictors010,1,1,2512,0.06516341348802548
AUSTRALIA,top10,all,predictors010,1,2,2512,0.06318034957795263
AUSTRALIA,top10,all,predictors010,1,3,2512,0.06735648267247527
GERMANY,top10,all,predictors010,1,1,2765,0.16446152176796727
GERMANY,top10,all,predictors010,1,2,2765,0.16334476540307402
GERMANY,top10,all,predictors010,1,3,2765,0.16721168266497682
KOREA,top10,all,predictors010,1,1,2126,0.0878657368158405
KOREA,top10,all,predictors010,1,2,2126,0.08200294805325356
KOREA,top10,all,predictors010,1,3,2126,0.08101055652803005
UK,top10,all,predictors010,1,1,2528,0.06262154287344998
UK,top10,all,predictors010,1,2,2528,0.04399060585075407
UK,top10,all,predictors010,1,3,2528,0.055936178869674925
USA,top10,all,predictors010,1,1,11519,0.14530785891412018
USA,top10,all,predictors010,1,2,11519,0.1449058437564758
USA,top10,all,predictors010,1,3,11519,0.14685539862293054
