Country,Outcome,Group,Predictor_Set,Min_Obs,Rep,Sample_Size,SuperLearner
AUSTRALIA,top20,childtop20,famincedu,1,1,529,-7.058562649760794e-4
AUSTRALIA,top20,childtop20,famincedu,1,2,529,-0.003954148029575747
AUSTRALIA,top20,childtop20,famincedu,1,3,529,0.0019593780810718935
GERMANY,top20,childtop20,famincedu,1,1,717,0.033736061243966865
GERMANY,top20,childtop20,famincedu,1,2,717,0.02881598168521151
GERMANY,top20,childtop20,famincedu,1,3,717,0.030756375242649493
KOREA,top20,childtop20,famincedu,1,1,411,0.03647004217491363
KOREA,top20,childtop20,famincedu,1,2,411,0.033478325421802735
KOREA,top20,childtop20,famincedu,1,3,411,0.04744668284691236
UK,top20,childtop20,famincedu,1,1,584,0.06853030495934023
UK,top20,childtop20,famincedu,1,2,584,0.058109977000752135
UK,top20,childtop20,famincedu,1,3,584,0.054105903141297554
USA,top20,childtop20,famincedu,1,1,2245,0.043686513189787626
USA,top20,childtop20,famincedu,1,2,2245,0.045021265924622654
USA,top20,childtop20,famincedu,1,3,2245,0.04262331022349157
