Country,Outcome,Group,Predictor_Set,Min_Obs,Rep,Sample_Size,SuperLearner
AUSTRALIA,top20,childtop20,predictors010,1,1,529,0.09700755314532969
AUSTRALIA,top20,childtop20,predictors010,1,2,529,0.10793821572957922
AUSTRALIA,top20,childtop20,predictors010,1,3,529,0.08423521291262814
GERMANY,top20,childtop20,predictors010,1,1,717,0.2647200413362563
GERMANY,top20,childtop20,predictors010,1,2,717,0.262727743225368
GERMANY,top20,childtop20,predictors010,1,3,717,0.26442173017895365
KOREA,top20,childtop20,predictors010,1,1,411,0.10469311144536093
KOREA,top20,childtop20,predictors010,1,2,411,0.08230134162511885
KOREA,top20,childtop20,predictors010,1,3,411,0.11484751375074324
UK,top20,childtop20,predictors010,1,1,584,0.09970656170868994
UK,top20,childtop20,predictors010,1,2,584,0.07950935425328776
UK,top20,childtop20,predictors010,1,3,584,0.11084751297707587
USA,top20,childtop20,predictors010,1,1,2245,0.10057824288157424
USA,top20,childtop20,predictors010,1,2,2245,0.09601799494822576
USA,top20,childtop20,predictors010,1,3,2245,0.09461767159920915
