Country,Outcome,Group,Predictor_Set,Min_Obs,Rep,Sample_Size,SuperLearner
AUSTRALIA,top50,childbottom20,predictors017,1,1,505,0.05844834967178979
AUSTRALIA,top50,childbottom20,predictors017,1,2,505,0.06069200998867465
AUSTRALIA,top50,childbottom20,predictors017,1,3,505,0.07766453765343886
GERMANY,top50,childbottom20,predictors017,1,1,443,0.014969424589236224
GERMANY,top50,childbottom20,predictors017,1,2,443,0.03623271227128182
GERMANY,top50,childbottom20,predictors017,1,3,443,0.011648671094654109
KOREA,top50,childbottom20,predictors017,1,1,420,0.006821679644627143
KOREA,top50,childbottom20,predictors017,1,2,420,-0.01705236872904079
KOREA,top50,childbottom20,predictors017,1,3,420,-8.129017236300423e-4
UK,top50,childbottom20,predictors017,1,1,418,0.03713231569043564
UK,top50,childbottom20,predictors017,1,2,418,0.053280427951832146
UK,top50,childbottom20,predictors017,1,3,418,0.08242813552161846
USA,top50,childbottom20,predictors017,1,1,2274,0.05040633969183343
USA,top50,childbottom20,predictors017,1,2,2274,0.04607723489962547
USA,top50,childbottom20,predictors017,1,3,2274,0.04010045870002754
