Outcome,Sample_Size,Rep,R2_CV,R2_Holdout
poverty,2765,1,0.2049618946730806,0.20219253184527997
poverty,2765,2,0.1920762278215853,0.20672152036272162
poverty,2765,3,0.20003235831220917,0.19558801439941265
poverty,1843,1,0.20017522940197693,0.19512149049893024
poverty,1843,2,0.18975073642275436,0.19376574372226008
poverty,1843,3,0.17997092028783063,0.18529882052769675
poverty,418,1,0.23985590695223238,0.17088410446721958
poverty,418,2,0.09666255007425655,0.1554224355097218
poverty,418,3,0.1091723827042878,0.15369527743589295
education,2765,1,0.29641173122439607,0.28763799196996476
education,2765,2,0.27628446801064027,0.2958722732785116
education,2765,3,0.2877167645202436,0.2944710854439766
education,1843,1,0.2795499180656934,0.2870420063968274
education,1843,2,0.3050521041718061,0.27971864550422665
education,1843,3,0.2911017263121956,0.27973563769390675
education,418,1,0.28255259789110065,0.23946767094381094
education,418,2,0.30941623870282753,0.24184017705640592
education,418,3,0.152876611649471,0.24749396617274755
adcont,2765,1,0.3398385935904683,0.3187114477307259
adcont,2765,2,0.3230515917862767,0.32344621079530056
adcont,2765,3,0.30904338484077776,0.32056853856591183
adcont,1843,1,0.33328649149303863,0.30870263811397536
adcont,1843,2,0.27446516126783227,0.31808414687328
adcont,1843,3,0.3045835254291423,0.3161407073989053
adcont,418,1,0.3344624514261236,0.2872579634707345
adcont,418,2,0.2781390853604269,0.26017708188714206
adcont,418,3,0.19974649384268278,0.2716430941393596
top10,2765,1,0.1260683957974657,0.1406030355277157
top10,2765,2,0.14367407861210313,0.13629599418683291
top10,2765,3,0.1374530577673687,0.13713264543149284
top10,1843,1,0.11638911611858119,0.1353998944918614
top10,1843,2,0.06841041880794027,0.12747130341195634
top10,1843,3,0.11527889682866084,0.13738525906477694
top10,418,1,0.011259002125648098,0.09816363621188717
top10,418,2,0.1281260820192987,0.09153054464482713
top10,418,3,-0.058084933236664124,0.05366592126519287
