Outcome,Sample_Size,R2_CV_Mean,R2_Holdout_Mean
adcont,418,0.2651120699641602,0.2729611866211062
adcont,1843,0.3030431252409191,0.31577527555194834
adcont,2765,0.32513424688561476,0.32171230047797167
education,418,0.2415927653362656,0.24413086678302978
education,1843,0.2942857035313897,0.28550573275072777
education,2765,0.2916188778652312,0.29459565607711363
poverty,418,0.14111592906815176,0.160442774526568
poverty,1843,0.1914939603984755,0.19246388351101995
poverty,2765,0.20046524083037995,0.20212344376264912
top10,418,0.01911975340565388,0.08221587692584657
top10,1843,0.0985762363785855,0.12816170210526223
top10,2765,0.13519506806731385,0.13272342018857605
