Country,Outcome,Group,Predictor_Set,Min_Obs,Rep,Sample_Size,R2
AUSTRALIA,adcont,all,famincedu,1,1,2512,0.1448356883660446
AUSTRALIA,adcont,all,famincedu,1,2,2512,0.14573217040957825
AUSTRALIA,adcont,all,famincedu,1,3,2512,0.14645659933734417
GERMANY,adcont,all,famincedu,1,1,2765,0.12686305475873338
GERMANY,adcont,all,famincedu,1,2,2765,0.12574341834192906
GERMANY,adcont,all,famincedu,1,3,2765,0.1280629716902093
KOREA,adcont,all,famincedu,1,1,2126,0.1754851644649425
KOREA,adcont,all,famincedu,1,2,2126,0.176172661965613
KOREA,adcont,all,famincedu,1,3,2126,0.17487599702672166
UK,adcont,all,famincedu,1,1,1843,0.09381368744661563
UK,adcont,all,famincedu,1,2,1843,0.08743034734193064
UK,adcont,all,famincedu,1,3,1843,0.09739322946619484
USA,adcont,all,famincedu,1,1,11518,0.29565627665496275
USA,adcont,all,famincedu,1,2,11518,0.29561578394998583
USA,adcont,all,famincedu,1,3,11518,0.2966817039303762
