Country,Outcome,Group,Predictor_Set,Min_Obs,Rep,Sample_Size,R2
AUSTRALIA,adcont,all,predictors017,1,1,2512,0.19066816390397792
AUSTRALIA,adcont,all,predictors017,1,2,2512,0.19638470619741916
AUSTRALIA,adcont,all,predictors017,1,3,2512,0.19269196412709372
GERMANY,adcont,all,predictors017,1,1,2765,0.26346237827257324
GERMANY,adcont,all,predictors017,1,2,2765,0.2530145008405274
GERMANY,adcont,all,predictors017,1,3,2765,0.25206044824521057
KOREA,adcont,all,predictors017,1,1,2126,0.22034564737773055
KOREA,adcont,all,predictors017,1,2,2126,0.22304057592082532
KOREA,adcont,all,predictors017,1,3,2126,0.21711142114563325
UK,adcont,all,predictors017,1,1,1843,0.11138158350518372
UK,adcont,all,predictors017,1,2,1843,0.10641892881105586
UK,adcont,all,predictors017,1,3,1843,0.11655112186727146
USA,adcont,all,predictors017,1,1,11518,0.3201602883588712
USA,adcont,all,predictors017,1,2,11518,0.3203522609936219
USA,adcont,all,predictors017,1,3,11518,0.31986118096039784
