Country,Outcome,Group,Predictor_Set,Min_Obs,Rep,Sample_Size,R2
AUSTRALIA,education,all,famincedu,1,1,2418,0.13057329403255036
AUSTRALIA,education,all,famincedu,1,2,2418,0.1316769806714897
AUSTRALIA,education,all,famincedu,1,3,2418,0.13017157536890128
GERMANY,education,all,famincedu,1,1,2331,0.239359749130361
GERMANY,education,all,famincedu,1,2,2331,0.23994882247781085
GERMANY,education,all,famincedu,1,3,2331,0.23784820168434898
KOREA,education,all,famincedu,1,1,2126,0.10300519517510302
KOREA,education,all,famincedu,1,2,2126,0.10005003368851209
KOREA,education,all,famincedu,1,3,2126,0.10254543279608072
USA,education,all,famincedu,1,1,11461,0.23796941180753778
USA,education,all,famincedu,1,2,11461,0.2382009689584056
USA,education,all,famincedu,1,3,11461,0.23805238271836598
