Country,Outcome,Group,Predictor_Set,Min_Obs,Rep,Sample_Size,R2
AUSTRALIA,education,all,predictors017,1,1,2418,0.18375133320174863
AUSTRALIA,education,all,predictors017,1,2,2418,0.19099576822836933
AUSTRALIA,education,all,predictors017,1,3,2418,0.19014082462950568
GERMANY,education,all,predictors017,1,1,2331,0.24793003920566833
GERMANY,education,all,predictors017,1,2,2331,0.25106018892828413
GERMANY,education,all,predictors017,1,3,2331,0.2485005655579791
KOREA,education,all,predictors017,1,1,2126,0.10577423275426437
KOREA,education,all,predictors017,1,2,2126,0.09797361813847145
KOREA,education,all,predictors017,1,3,2126,0.1086083416346539
USA,education,all,predictors017,1,1,11461,0.29184112276694874
USA,education,all,predictors017,1,2,11461,0.289380274122483
USA,education,all,predictors017,1,3,11461,0.2928755878415784
