Country,Outcome,Group,Predictor_Set,Min_Obs,Rep,Sample_Size,SuperLearner
AUSTRALIA,education,all,predictors017,3,1,1895,0.19319544726510857
AUSTRALIA,education,all,predictors017,3,2,1895,0.19353959357205902
AUSTRALIA,education,all,predictors017,3,3,1895,0.20433826819253156
GERMANY,education,all,predictors017,3,1,1859,0.24873692928200758
GERMANY,education,all,predictors017,3,2,1859,0.26157125257458724
GERMANY,education,all,predictors017,3,3,1859,0.252662010557872
KOREA,education,all,predictors017,3,1,1273,0.1354846281056627
KOREA,education,all,predictors017,3,2,1273,0.1273236341215407
KOREA,education,all,predictors017,3,3,1273,0.12260240430951988
USA,education,all,predictors017,3,1,10496,0.32092442817135347
USA,education,all,predictors017,3,2,10496,0.32108904312881587
USA,education,all,predictors017,3,3,10496,0.3195717790200559
