Country,Outcome,Group,Predictor_Set,Min_Obs,Rep,Sample_Size,R2
AUSTRALIA,poverty,all,famincedu,1,1,2512,0.05763878411370808
AUSTRALIA,poverty,all,famincedu,1,2,2512,0.0600842450854487
AUSTRALIA,poverty,all,famincedu,1,3,2512,0.05416078529619774
GERMANY,poverty,all,famincedu,1,1,2765,0.019627180577845495
GERMANY,poverty,all,famincedu,1,2,2765,0.014832665852429015
GERMANY,poverty,all,famincedu,1,3,2765,0.019679282152888077
KOREA,poverty,all,famincedu,1,1,2126,0.04166935040609625
KOREA,poverty,all,famincedu,1,2,2126,0.05163883539469714
KOREA,poverty,all,famincedu,1,3,2126,0.04321052829294223
UK,poverty,all,famincedu,1,1,1843,0.0015806526960158163
UK,poverty,all,famincedu,1,2,1843,0.003323113765764508
UK,poverty,all,famincedu,1,3,1843,8.885456169318573e-4
USA,poverty,all,famincedu,1,1,11518,0.18755465497025053
USA,poverty,all,famincedu,1,2,11518,0.18803371904435295
USA,poverty,all,famincedu,1,3,11518,0.1877640559881822
