Country,Outcome,Group,Predictor_Set,Min_Obs,Rep,Sample_Size,SuperLearner
AUSTRALIA,poverty,all,famincedu,3,1,1966,0.049961485952269416
AUSTRALIA,poverty,all,famincedu,3,2,1966,0.051144876964294816
AUSTRALIA,poverty,all,famincedu,3,3,1966,0.050251410148287025
GERMANY,poverty,all,famincedu,3,1,2214,0.017015459554109925
GERMANY,poverty,all,famincedu,3,2,2214,0.015617480598205802
GERMANY,poverty,all,famincedu,3,3,2214,0.019836143034034803
KOREA,poverty,all,famincedu,3,1,1273,0.02441208539125881
KOREA,poverty,all,famincedu,3,2,1273,0.030897614170537734
KOREA,poverty,all,famincedu,3,3,1273,0.046831701652863454
UK,poverty,all,famincedu,3,1,1405,-0.002891381833393458
UK,poverty,all,famincedu,3,2,1405,-0.006765618333642686
UK,poverty,all,famincedu,3,3,1405,-0.008030348913988771
USA,poverty,all,famincedu,3,1,10542,0.19871229607916738
USA,poverty,all,famincedu,3,2,10542,0.19843430806959858
USA,poverty,all,famincedu,3,3,10542,0.19831953519416895
