Country,Outcome,Group,Predictor_Set,Min_Obs,Rep,Sample_Size,R2
AUSTRALIA,poverty,all,predictors017,1,1,2512,0.05321177448165535
AUSTRALIA,poverty,all,predictors017,1,2,2512,0.061962965286548675
AUSTRALIA,poverty,all,predictors017,1,3,2512,0.04558536707459868
GERMANY,poverty,all,predictors017,1,1,2765,0.049142992794874885
GERMANY,poverty,all,predictors017,1,2,2765,0.03772838750993823
GERMANY,poverty,all,predictors017,1,3,2765,0.053105495978144866
KOREA,poverty,all,predictors017,1,1,2126,0.04614339818361739
KOREA,poverty,all,predictors017,1,2,2126,0.040474997690627144
KOREA,poverty,all,predictors017,1,3,2126,0.02816112013974805
UK,poverty,all,predictors017,1,1,1843,-0.006682503044955768
UK,poverty,all,predictors017,1,2,1843,-0.011319883539611775
UK,poverty,all,predictors017,1,3,1843,0.001950811044317403
USA,poverty,all,predictors017,1,1,11518,0.20044145773751337
USA,poverty,all,predictors017,1,2,11518,0.2018251960493732
USA,poverty,all,predictors017,1,3,11518,0.20156962404994264
