Country,Outcome,Group,Predictor_Set,Min_Obs,Rep,Sample_Size,R2
AUSTRALIA,top10,all,famincedu,1,1,2512,0.0364286289239437
AUSTRALIA,top10,all,famincedu,1,2,2512,0.046058857442891135
AUSTRALIA,top10,all,famincedu,1,3,2512,0.042249774265704046
GERMANY,top10,all,famincedu,1,1,2765,0.09771608855716421
GERMANY,top10,all,famincedu,1,2,2765,0.09653708504643446
GERMANY,top10,all,famincedu,1,3,2765,0.09565978107432208
KOREA,top10,all,famincedu,1,1,2126,0.11783288756930432
KOREA,top10,all,famincedu,1,2,2126,0.12528390584330867
KOREA,top10,all,famincedu,1,3,2126,0.12081002312272586
UK,top10,all,famincedu,1,1,2528,0.05627536265252375
UK,top10,all,famincedu,1,2,2528,0.05009106349912214
UK,top10,all,famincedu,1,3,2528,0.04799505887037292
USA,top10,all,famincedu,1,1,11519,0.1268526658179564
USA,top10,all,famincedu,1,2,11519,0.12607635822733348
USA,top10,all,famincedu,1,3,11519,0.12743832107277825
