Country,Outcome,Group,Predictor_Set,Min_Obs,Rep,Sample_Size,SuperLearner
AUSTRALIA,top10,all,famincedu,3,1,1966,0.04482446260381423
AUSTRALIA,top10,all,famincedu,3,2,1966,0.04939349083040925
AUSTRALIA,top10,all,famincedu,3,3,1966,0.04210067781556781
GERMANY,top10,all,famincedu,3,1,2214,0.09503497476830343
GERMANY,top10,all,famincedu,3,2,2214,0.09720634283891054
GERMANY,top10,all,famincedu,3,3,2214,0.09812627507915564
KOREA,top10,all,famincedu,3,1,1273,0.1276749360119462
KOREA,top10,all,famincedu,3,2,1273,0.11925251939162462
KOREA,top10,all,famincedu,3,3,1273,0.11650907798208646
UK,top10,all,famincedu,3,1,1764,0.04287583586476631
UK,top10,all,famincedu,3,2,1764,0.04356970489504677
UK,top10,all,famincedu,3,3,1764,0.0319259437257484
USA,top10,all,famincedu,3,1,10543,0.12891237378336196
USA,top10,all,famincedu,3,2,10543,0.1271970191475195
USA,top10,all,famincedu,3,3,10543,0.1287377188647655
