Country,Outcome,Group,Predictor_Set,Min_Obs,Rep,Sample_Size,R2
AUSTRALIA,top10,all,predictors017,1,1,2512,0.04294568597373498
AUSTRALIA,top10,all,predictors017,1,2,2512,0.045794018745470844
AUSTRALIA,top10,all,predictors017,1,3,2512,0.04893441574234867
GERMANY,top10,all,predictors017,1,1,2765,0.19696515007435236
GERMANY,top10,all,predictors017,1,2,2765,0.1967271869031916
GERMANY,top10,all,predictors017,1,3,2765,0.18744451317679373
KOREA,top10,all,predictors017,1,1,2126,0.08143915878758315
KOREA,top10,all,predictors017,1,2,2126,0.09696307395752393
KOREA,top10,all,predictors017,1,3,2126,0.09092677916095022
UK,top10,all,predictors017,1,1,2528,0.05549128777794192
UK,top10,all,predictors017,1,2,2528,0.03320738050903897
UK,top10,all,predictors017,1,3,2528,0.040857098876530884
USA,top10,all,predictors017,1,1,11519,0.14250326816094208
USA,top10,all,predictors017,1,2,11519,0.14287090086341164
USA,top10,all,predictors017,1,3,11519,0.14589327818863201
