Country,Outcome,Group,Predictor_Set,Min_Obs,Rep,Sample_Size,SuperLearner
AUSTRALIA,top10,all,predictors017,3,1,1966,0.10184784026937388
AUSTRALIA,top10,all,predictors017,3,2,1966,0.09052492026803456
AUSTRALIA,top10,all,predictors017,3,3,1966,0.10437234122923525
GERMANY,top10,all,predictors017,3,1,2214,0.21924699902619393
GERMANY,top10,all,predictors017,3,2,2214,0.22412472930892363
GERMANY,top10,all,predictors017,3,3,2214,0.22323006956421454
KOREA,top10,all,predictors017,3,1,1273,0.13677637666612447
KOREA,top10,all,predictors017,3,2,1273,0.13541821404845186
KOREA,top10,all,predictors017,3,3,1273,0.14778360001832078
UK,top10,all,predictors017,3,1,1764,0.06875596919675216
UK,top10,all,predictors017,3,2,1764,0.08023836041891577
UK,top10,all,predictors017,3,3,1764,0.06736481557151922
USA,top10,all,predictors017,3,1,10543,0.15553845310657455
USA,top10,all,predictors017,3,2,10543,0.15997277765067797
USA,top10,all,predictors017,3,3,10543,0.15927940058923967
