Algo,Weight,Country,Outcome,Group,Rep,Fold,Predictor_Set,Min_Obs
SL.glmnet_All,0.7389212086692017,USA,adcont,all,1,1,famincedu,3
SL.ranger.fast_All,0.03750396025789712,USA,adcont,all,1,1,famincedu,3
SL.xgboost.fast_All,0.22357483107290108,USA,adcont,all,1,1,famincedu,3
SL.glmnet_All,0.7855856385767086,USA,adcont,all,1,2,famincedu,3
SL.ranger.fast_All,0,USA,adcont,all,1,2,famincedu,3
SL.xgboost.fast_All,0.21441436142329143,USA,adcont,all,1,2,famincedu,3
SL.glmnet_All,0.7969223376889296,USA,adcont,all,1,3,famincedu,3
SL.ranger.fast_All,0.028954812869401058,USA,adcont,all,1,3,famincedu,3
SL.xgboost.fast_All,0.17412284944166942,USA,adcont,all,1,3,famincedu,3
SL.glmnet_All,0.9108883459068806,USA,adcont,all,1,4,famincedu,3
SL.ranger.fast_All,0,USA,adcont,all,1,4,famincedu,3
SL.xgboost.fast_All,0.08911165409311934,USA,adcont,all,1,4,famincedu,3
SL.glmnet_All,0.7047285400847617,USA,adcont,all,1,5,famincedu,3
SL.ranger.fast_All,0.00971353476450895,USA,adcont,all,1,5,famincedu,3
SL.xgboost.fast_All,0.2855579251507293,USA,adcont,all,1,5,famincedu,3
SL.glmnet_All,0.7654620785908697,USA,adcont,all,2,1,famincedu,3
SL.ranger.fast_All,0.10503761677875087,USA,adcont,all,2,1,famincedu,3
SL.xgboost.fast_All,0.12950030463037945,USA,adcont,all,2,1,famincedu,3
SL.glmnet_All,0.8278705537938721,USA,adcont,all,2,2,famincedu,3
SL.ranger.fast_All,0,USA,adcont,all,2,2,famincedu,3
SL.xgboost.fast_All,0.1721294462061279,USA,adcont,all,2,2,famincedu,3
SL.glmnet_All,0.79726048787681,USA,adcont,all,2,3,famincedu,3
SL.ranger.fast_All,0.024762930319080837,USA,adcont,all,2,3,famincedu,3
SL.xgboost.fast_All,0.17797658180410914,USA,adcont,all,2,3,famincedu,3
SL.glmnet_All,0.8282066917838569,USA,adcont,all,2,4,famincedu,3
SL.ranger.fast_All,0,USA,adcont,all,2,4,famincedu,3
SL.xgboost.fast_All,0.17179330821614314,USA,adcont,all,2,4,famincedu,3
SL.glmnet_All,0.7301626860881248,USA,adcont,all,2,5,famincedu,3
SL.ranger.fast_All,0,USA,adcont,all,2,5,famincedu,3
SL.xgboost.fast_All,0.2698373139118752,USA,adcont,all,2,5,famincedu,3
SL.glmnet_All,0.8795319591406214,USA,adcont,all,3,1,famincedu,3
SL.ranger.fast_All,0,USA,adcont,all,3,1,famincedu,3
SL.xgboost.fast_All,0.12046804085937864,USA,adcont,all,3,1,famincedu,3
SL.glmnet_All,0.8669612901136395,USA,adcont,all,3,2,famincedu,3
SL.ranger.fast_All,0,USA,adcont,all,3,2,famincedu,3
SL.xgboost.fast_All,0.13303870988636038,USA,adcont,all,3,2,famincedu,3
SL.glmnet_All,0.9094327019781447,USA,adcont,all,3,3,famincedu,3
SL.ranger.fast_All,0,USA,adcont,all,3,3,famincedu,3
SL.xgboost.fast_All,0.09056729802185523,USA,adcont,all,3,3,famincedu,3
SL.glmnet_All,0.7530199687044176,USA,adcont,all,3,4,famincedu,3
SL.ranger.fast_All,0.034234324153044275,USA,adcont,all,3,4,famincedu,3
SL.xgboost.fast_All,0.21274570714253815,USA,adcont,all,3,4,famincedu,3
SL.glmnet_All,0.8200232881979397,USA,adcont,all,3,5,famincedu,3
SL.ranger.fast_All,0,USA,adcont,all,3,5,famincedu,3
SL.xgboost.fast_All,0.1799767118020604,USA,adcont,all,3,5,famincedu,3
SL.glmnet_All,1,GERMANY,adcont,all,1,1,famincedu,3
SL.ranger.fast_All,0,GERMANY,adcont,all,1,1,famincedu,3
SL.xgboost.fast_All,0,GERMANY,adcont,all,1,1,famincedu,3
SL.glmnet_All,1,GERMANY,adcont,all,1,2,famincedu,3
SL.ranger.fast_All,0,GERMANY,adcont,all,1,2,famincedu,3
SL.xgboost.fast_All,0,GERMANY,adcont,all,1,2,famincedu,3
SL.glmnet_All,1,GERMANY,adcont,all,1,3,famincedu,3
SL.ranger.fast_All,0,GERMANY,adcont,all,1,3,famincedu,3
SL.xgboost.fast_All,0,GERMANY,adcont,all,1,3,famincedu,3
SL.glmnet_All,1,GERMANY,adcont,all,1,4,famincedu,3
SL.ranger.fast_All,0,GERMANY,adcont,all,1,4,famincedu,3
SL.xgboost.fast_All,0,GERMANY,adcont,all,1,4,famincedu,3
SL.glmnet_All,1,GERMANY,adcont,all,1,5,famincedu,3
SL.ranger.fast_All,0,GERMANY,adcont,all,1,5,famincedu,3
SL.xgboost.fast_All,0,GERMANY,adcont,all,1,5,famincedu,3
SL.glmnet_All,0.7991662635086108,GERMANY,adcont,all,2,1,famincedu,3
SL.ranger.fast_All,0.2008337364913892,GERMANY,adcont,all,2,1,famincedu,3
SL.xgboost.fast_All,0,GERMANY,adcont,all,2,1,famincedu,3
SL.glmnet_All,1,GERMANY,adcont,all,2,2,famincedu,3
SL.ranger.fast_All,0,GERMANY,adcont,all,2,2,famincedu,3
