Algo,Weight,Country,Outcome,Group,Rep,Fold,Predictor_Set,Min_Obs
SL.glmnet_All,0.35183440261641247,USA,adcont,all,1,1,predictors017,3
SL.ranger.fast_All,0.4774825104446323,USA,adcont,all,1,1,predictors017,3
SL.xgboost.fast_All,0.17068308693895518,USA,adcont,all,1,1,predictors017,3
SL.glmnet_All,0.35037279687351863,USA,adcont,all,1,2,predictors017,3
SL.ranger.fast_All,0.4206281908166642,USA,adcont,all,1,2,predictors017,3
SL.xgboost.fast_All,0.22899901230981712,USA,adcont,all,1,2,predictors017,3
SL.glmnet_All,0.3856083774974704,USA,adcont,all,1,3,predictors017,3
SL.ranger.fast_All,0.4174851310845434,USA,adcont,all,1,3,predictors017,3
SL.xgboost.fast_All,0.19690649141798636,USA,adcont,all,1,3,predictors017,3
SL.glmnet_All,0.41312487159920586,USA,adcont,all,1,4,predictors017,3
SL.ranger.fast_All,0.43179647620341005,USA,adcont,all,1,4,predictors017,3
SL.xgboost.fast_All,0.15507865219738412,USA,adcont,all,1,4,predictors017,3
SL.glmnet_All,0.36185422466279055,USA,adcont,all,1,5,predictors017,3
SL.ranger.fast_All,0.42962322401545666,USA,adcont,all,1,5,predictors017,3
SL.xgboost.fast_All,0.20852255132175274,USA,adcont,all,1,5,predictors017,3
SL.glmnet_All,0.43449767891793756,USA,adcont,all,2,1,predictors017,3
SL.ranger.fast_All,0.37001345124652923,USA,adcont,all,2,1,predictors017,3
SL.xgboost.fast_All,0.19548886983553332,USA,adcont,all,2,1,predictors017,3
SL.glmnet_All,0.3889351607110456,USA,adcont,all,2,2,predictors017,3
SL.ranger.fast_All,0.40709954183557884,USA,adcont,all,2,2,predictors017,3
SL.xgboost.fast_All,0.20396529745337552,USA,adcont,all,2,2,predictors017,3
SL.glmnet_All,0.34258206065575775,USA,adcont,all,2,3,predictors017,3
SL.ranger.fast_All,0.513956305723919,USA,adcont,all,2,3,predictors017,3
SL.xgboost.fast_All,0.14346163362032316,USA,adcont,all,2,3,predictors017,3
SL.glmnet_All,0.39404662853021977,USA,adcont,all,2,4,predictors017,3
SL.ranger.fast_All,0.4099274603982778,USA,adcont,all,2,4,predictors017,3
SL.xgboost.fast_All,0.19602591107150233,USA,adcont,all,2,4,predictors017,3
SL.glmnet_All,0.4151359783221588,USA,adcont,all,2,5,predictors017,3
SL.ranger.fast_All,0.3913406349074542,USA,adcont,all,2,5,predictors017,3
SL.xgboost.fast_All,0.19352338677038694,USA,adcont,all,2,5,predictors017,3
SL.glmnet_All,0.3714554340564282,USA,adcont,all,3,1,predictors017,3
SL.ranger.fast_All,0.4575934760042645,USA,adcont,all,3,1,predictors017,3
SL.xgboost.fast_All,0.17095108993930722,USA,adcont,all,3,1,predictors017,3
SL.glmnet_All,0.4332274487627653,USA,adcont,all,3,2,predictors017,3
SL.ranger.fast_All,0.4310738733425421,USA,adcont,all,3,2,predictors017,3
SL.xgboost.fast_All,0.13569867789469262,USA,adcont,all,3,2,predictors017,3
SL.glmnet_All,0.35155580980111345,USA,adcont,all,3,3,predictors017,3
SL.ranger.fast_All,0.4393070859193595,USA,adcont,all,3,3,predictors017,3
SL.xgboost.fast_All,0.209137104279527,USA,adcont,all,3,3,predictors017,3
SL.glmnet_All,0.3187643228533715,USA,adcont,all,3,4,predictors017,3
SL.ranger.fast_All,0.46243372298413393,USA,adcont,all,3,4,predictors017,3
SL.xgboost.fast_All,0.21880195416249446,USA,adcont,all,3,4,predictors017,3
SL.glmnet_All,0.4178896666516546,USA,adcont,all,3,5,predictors017,3
SL.ranger.fast_All,0.4100567823705063,USA,adcont,all,3,5,predictors017,3
SL.xgboost.fast_All,0.17205355097783914,USA,adcont,all,3,5,predictors017,3
SL.glmnet_All,0.41017796476445323,GERMANY,adcont,all,1,1,predictors017,3
SL.ranger.fast_All,0.35635645592926646,GERMANY,adcont,all,1,1,predictors017,3
SL.xgboost.fast_All,0.2334655793062802,GERMANY,adcont,all,1,1,predictors017,3
SL.glmnet_All,0.39535191233816236,GERMANY,adcont,all,1,2,predictors017,3
SL.ranger.fast_All,0.35247715971359594,GERMANY,adcont,all,1,2,predictors017,3
SL.xgboost.fast_All,0.25217092794824164,GERMANY,adcont,all,1,2,predictors017,3
SL.glmnet_All,0.44567684573166705,GERMANY,adcont,all,1,3,predictors017,3
SL.ranger.fast_All,0.3537667709250775,GERMANY,adcont,all,1,3,predictors017,3
SL.xgboost.fast_All,0.20055638334325532,GERMANY,adcont,all,1,3,predictors017,3
SL.glmnet_All,0.5127953924683603,GERMANY,adcont,all,1,4,predictors017,3
SL.ranger.fast_All,0.2962503895002254,GERMANY,adcont,all,1,4,predictors017,3
SL.xgboost.fast_All,0.1909542180314143,GERMANY,adcont,all,1,4,predictors017,3
SL.glmnet_All,0.39707970707805923,GERMANY,adcont,all,1,5,predictors017,3
SL.ranger.fast_All,0.3650163538516193,GERMANY,adcont,all,1,5,predictors017,3
SL.xgboost.fast_All,0.2379039390703215,GERMANY,adcont,all,1,5,predictors017,3
SL.glmnet_All,0.42740143141640596,GERMANY,adcont,all,2,1,predictors017,3
SL.ranger.fast_All,0.34849093888543897,GERMANY,adcont,all,2,1,predictors017,3
SL.xgboost.fast_All,0.22410762969815504,GERMANY,adcont,all,2,1,predictors017,3
SL.glmnet_All,0.43199040869525934,GERMANY,adcont,all,2,2,predictors017,3
SL.ranger.fast_All,0.41884572957358196,GERMANY,adcont,all,2,2,predictors017,3
SL.xgboost.fast_All,0.1491638617311587,GERMANY,adcont,all,2,2,predictors017,3
SL.glmnet_All,0.31043651991835264,GERMANY,adcont,all,2,3,predictors017,3
SL.ranger.fast_All,0.47170525184267215,GERMANY,adcont,all,2,3,predictors017,3
SL.xgboost.fast_All,0.21785822823897516,GERMANY,adcont,all,2,3,predictors017,3
SL.glmnet_All,0.4655949557395781,GERMANY,adcont,all,2,4,predictors017,3
SL.ranger.fast_All,0.38448550417626,GERMANY,adcont,all,2,4,predictors017,3
SL.xgboost.fast_All,0.14991954008416197,GERMANY,adcont,all,2,4,predictors017,3
SL.glmnet_All,0.3003488753791313,GERMANY,adcont,all,2,5,predictors017,3
SL.ranger.fast_All,0.4026657943746489,GERMANY,adcont,all,2,5,predictors017,3
SL.xgboost.fast_All,0.2969853302462197,GERMANY,adcont,all,2,5,predictors017,3
SL.glmnet_All,0.5247484158677186,GERMANY,adcont,all,3,1,predictors017,3
SL.ranger.fast_All,0.2862959957202219,GERMANY,adcont,all,3,1,predictors017,3
SL.xgboost.fast_All,0.1889555884120594,GERMANY,adcont,all,3,1,predictors017,3
SL.glmnet_All,0.47789186570594383,GERMANY,adcont,all,3,2,predictors017,3
SL.ranger.fast_All,0.3671607286805242,GERMANY,adcont,all,3,2,predictors017,3
SL.xgboost.fast_All,0.1549474056135321,GERMANY,adcont,all,3,2,predictors017,3
SL.glmnet_All,0.4923012503197098,GERMANY,adcont,all,3,3,predictors017,3
SL.ranger.fast_All,0.33279977996711213,GERMANY,adcont,all,3,3,predictors017,3
SL.xgboost.fast_All,0.17489896971317817,GERMANY,adcont,all,3,3,predictors017,3
SL.glmnet_All,0.34611555010034384,GERMANY,adcont,all,3,4,predictors017,3
SL.ranger.fast_All,0.41842373657810217,GERMANY,adcont,all,3,4,predictors017,3
SL.xgboost.fast_All,0.23546071332155402,GERMANY,adcont,all,3,4,predictors017,3
SL.glmnet_All,0.30709625000915547,GERMANY,adcont,all,3,5,predictors017,3
SL.ranger.fast_All,0.46340472578211933,GERMANY,adcont,all,3,5,predictors017,3
SL.xgboost.fast_All,0.229499024208725,GERMANY,adcont,all,3,5,predictors017,3
SL.glmnet_All,0.356858436131598,AUSTRALIA,adcont,all,1,1,predictors017,3
SL.ranger.fast_All,0.5374542199715617,AUSTRALIA,adcont,all,1,1,predictors017,3
SL.xgboost.fast_All,0.10568734389684024,AUSTRALIA,adcont,all,1,1,predictors017,3
SL.glmnet_All,0.31717226435571116,AUSTRALIA,adcont,all,1,2,predictors017,3
SL.ranger.fast_All,0.5620186947125729,AUSTRALIA,adcont,all,1,2,predictors017,3
SL.xgboost.fast_All,0.1208090409317159,AUSTRALIA,adcont,all,1,2,predictors017,3
SL.glmnet_All,0.29113748473442763,AUSTRALIA,adcont,all,1,3,predictors017,3
SL.ranger.fast_All,0.6686897499145097,AUSTRALIA,adcont,all,1,3,predictors017,3
SL.xgboost.fast_All,0.040172765351062636,AUSTRALIA,adcont,all,1,3,predictors017,3
SL.glmnet_All,0.3037300852670739,AUSTRALIA,adcont,all,1,4,predictors017,3
SL.ranger.fast_All,0.6246797969960463,AUSTRALIA,adcont,all,1,4,predictors017,3
SL.xgboost.fast_All,0.07159011773687997,AUSTRALIA,adcont,all,1,4,predictors017,3
SL.glmnet_All,0.2200786240266562,AUSTRALIA,adcont,all,1,5,predictors017,3
SL.ranger.fast_All,0.6506173190331052,AUSTRALIA,adcont,all,1,5,predictors017,3
SL.xgboost.fast_All,0.12930405694023875,AUSTRALIA,adcont,all,1,5,predictors017,3
SL.glmnet_All,0.3717587998161802,AUSTRALIA,adcont,all,2,1,predictors017,3
SL.ranger.fast_All,0.5537082406283894,AUSTRALIA,adcont,all,2,1,predictors017,3
SL.xgboost.fast_All,0.07453295955543032,AUSTRALIA,adcont,all,2,1,predictors017,3
SL.glmnet_All,0.38173631899085153,AUSTRALIA,adcont,all,2,2,predictors017,3
SL.ranger.fast_All,0.5389035163384817,AUSTRALIA,adcont,all,2,2,predictors017,3
SL.xgboost.fast_All,0.07936016467066691,AUSTRALIA,adcont,all,2,2,predictors017,3
SL.glmnet_All,0.15172811992031573,AUSTRALIA,adcont,all,2,3,predictors017,3
SL.ranger.fast_All,0.7061265831193958,AUSTRALIA,adcont,all,2,3,predictors017,3
SL.xgboost.fast_All,0.1421452969602884,AUSTRALIA,adcont,all,2,3,predictors017,3
SL.glmnet_All,0.25306481877224624,AUSTRALIA,adcont,all,2,4,predictors017,3
SL.ranger.fast_All,0.5614500259589484,AUSTRALIA,adcont,all,2,4,predictors017,3
SL.xgboost.fast_All,0.18548515526880535,AUSTRALIA,adcont,all,2,4,predictors017,3
SL.glmnet_All,0.4718182546959353,AUSTRALIA,adcont,all,2,5,predictors017,3
SL.ranger.fast_All,0.46592867111560343,AUSTRALIA,adcont,all,2,5,predictors017,3
SL.xgboost.fast_All,0.062253074188461315,AUSTRALIA,adcont,all,2,5,predictors017,3
SL.glmnet_All,0.29278103558118995,AUSTRALIA,adcont,all,3,1,predictors017,3
SL.ranger.fast_All,0.6075816825566467,AUSTRALIA,adcont,all,3,1,predictors017,3
SL.xgboost.fast_All,0.09963728186216336,AUSTRALIA,adcont,all,3,1,predictors017,3
SL.glmnet_All,0.558645443923824,AUSTRALIA,adcont,all,3,2,predictors017,3
SL.ranger.fast_All,0.320878445463589,AUSTRALIA,adcont,all,3,2,predictors017,3
SL.xgboost.fast_All,0.12047611061258709,AUSTRALIA,adcont,all,3,2,predictors017,3
SL.glmnet_All,0.4166847619722692,AUSTRALIA,adcont,all,3,3,predictors017,3
SL.ranger.fast_All,0.49423666622950563,AUSTRALIA,adcont,all,3,3,predictors017,3
SL.xgboost.fast_All,0.08907857179822506,AUSTRALIA,adcont,all,3,3,predictors017,3
SL.glmnet_All,0.30909404663208734,AUSTRALIA,adcont,all,3,4,predictors017,3
SL.ranger.fast_All,0.5629528374326048,AUSTRALIA,adcont,all,3,4,predictors017,3
SL.xgboost.fast_All,0.12795311593530767,AUSTRALIA,adcont,all,3,4,predictors017,3
SL.glmnet_All,0.3581216427029412,AUSTRALIA,adcont,all,3,5,predictors017,3
SL.ranger.fast_All,0.5880111012564876,AUSTRALIA,adcont,all,3,5,predictors017,3
SL.xgboost.fast_All,0.05386725604057106,AUSTRALIA,adcont,all,3,5,predictors017,3
SL.glmnet_All,0.5200792992358716,KOREA,adcont,all,1,1,predictors017,3
SL.ranger.fast_All,0.40289287152052783,KOREA,adcont,all,1,1,predictors017,3
SL.xgboost.fast_All,0.07702782924360066,KOREA,adcont,all,1,1,predictors017,3
SL.glmnet_All,0.5866953529792166,KOREA,adcont,all,1,2,predictors017,3
SL.ranger.fast_All,0.3303986237617496,KOREA,adcont,all,1,2,predictors017,3
SL.xgboost.fast_All,0.08290602325903389,KOREA,adcont,all,1,2,predictors017,3
SL.glmnet_All,0.508858801360352,KOREA,adcont,all,1,3,predictors017,3
SL.ranger.fast_All,0.4205656942659424,KOREA,adcont,all,1,3,predictors017,3
SL.xgboost.fast_All,0.07057550437370545,KOREA,adcont,all,1,3,predictors017,3
SL.glmnet_All,0.7143673191352964,KOREA,adcont,all,1,4,predictors017,3
SL.ranger.fast_All,0.28563268086470356,KOREA,adcont,all,1,4,predictors017,3
SL.xgboost.fast_All,0,KOREA,adcont,all,1,4,predictors017,3
SL.glmnet_All,0.40857511258236356,KOREA,adcont,all,1,5,predictors017,3
SL.ranger.fast_All,0.549581894558011,KOREA,adcont,all,1,5,predictors017,3
SL.xgboost.fast_All,0.041842992859625415,KOREA,adcont,all,1,5,predictors017,3
SL.glmnet_All,0.6404310449022697,KOREA,adcont,all,2,1,predictors017,3
SL.ranger.fast_All,0.35956895509773046,KOREA,adcont,all,2,1,predictors017,3
SL.xgboost.fast_All,0,KOREA,adcont,all,2,1,predictors017,3
SL.glmnet_All,0.3448729721625044,KOREA,adcont,all,2,2,predictors017,3
SL.ranger.fast_All,0.5650225716561836,KOREA,adcont,all,2,2,predictors017,3
SL.xgboost.fast_All,0.09010445618131202,KOREA,adcont,all,2,2,predictors017,3
SL.glmnet_All,0.8195203328970793,KOREA,adcont,all,2,3,predictors017,3
SL.ranger.fast_All,0.1603830680918724,KOREA,adcont,all,2,3,predictors017,3
SL.xgboost.fast_All,0.0200965990110483,KOREA,adcont,all,2,3,predictors017,3
SL.glmnet_All,0.7057699375945189,KOREA,adcont,all,2,4,predictors017,3
SL.ranger.fast_All,0.1386786157779772,KOREA,adcont,all,2,4,predictors017,3
SL.xgboost.fast_All,0.1555514466275039,KOREA,adcont,all,2,4,predictors017,3
SL.glmnet_All,0.45636097605969295,KOREA,adcont,all,2,5,predictors017,3
SL.ranger.fast_All,0.41695975600403534,KOREA,adcont,all,2,5,predictors017,3
SL.xgboost.fast_All,0.12667926793627166,KOREA,adcont,all,2,5,predictors017,3
SL.glmnet_All,0.48649136835350776,KOREA,adcont,all,3,1,predictors017,3
SL.ranger.fast_All,0.3802610994467736,KOREA,adcont,all,3,1,predictors017,3
SL.xgboost.fast_All,0.13324753219971855,KOREA,adcont,all,3,1,predictors017,3
SL.glmnet_All,0.5472202681741685,KOREA,adcont,all,3,2,predictors017,3
SL.ranger.fast_All,0.4276873154100135,KOREA,adcont,all,3,2,predictors017,3
SL.xgboost.fast_All,0.025092416415818077,KOREA,adcont,all,3,2,predictors017,3
SL.glmnet_All,0.800389733810969,KOREA,adcont,all,3,3,predictors017,3
SL.ranger.fast_All,0.05292103674670643,KOREA,adcont,all,3,3,predictors017,3
SL.xgboost.fast_All,0.1466892294423245,KOREA,adcont,all,3,3,predictors017,3
SL.glmnet_All,0.57795406608999,KOREA,adcont,all,3,4,predictors017,3
SL.ranger.fast_All,0.2910456509417043,KOREA,adcont,all,3,4,predictors017,3
SL.xgboost.fast_All,0.1310002829683057,KOREA,adcont,all,3,4,predictors017,3
SL.glmnet_All,0.5076412393780413,KOREA,adcont,all,3,5,predictors017,3
SL.ranger.fast_All,0.4528625334545038,KOREA,adcont,all,3,5,predictors017,3
SL.xgboost.fast_All,0.03949622716745501,KOREA,adcont,all,3,5,predictors017,3
SL.glmnet_All,0.6259736648032718,UK,adcont,all,1,1,predictors017,3
SL.ranger.fast_All,0.28826334978314627,UK,adcont,all,1,1,predictors017,3
SL.xgboost.fast_All,0.08576298541358192,UK,adcont,all,1,1,predictors017,3
SL.glmnet_All,0.6944135093777428,UK,adcont,all,1,2,predictors017,3
SL.ranger.fast_All,0.25756834412727375,UK,adcont,all,1,2,predictors017,3
SL.xgboost.fast_All,0.04801814649498342,UK,adcont,all,1,2,predictors017,3
SL.glmnet_All,0.8996571919951442,UK,adcont,all,1,3,predictors017,3
SL.ranger.fast_All,0.043660585286301123,UK,adcont,all,1,3,predictors017,3
SL.xgboost.fast_All,0.05668222271855488,UK,adcont,all,1,3,predictors017,3
SL.glmnet_All,0.3211863908386913,UK,adcont,all,1,4,predictors017,3
SL.ranger.fast_All,0.6788136091613087,UK,adcont,all,1,4,predictors017,3
SL.xgboost.fast_All,0,UK,adcont,all,1,4,predictors017,3
SL.glmnet_All,0.6519407097850849,UK,adcont,all,1,5,predictors017,3
SL.ranger.fast_All,0.2995624891992847,UK,adcont,all,1,5,predictors017,3
SL.xgboost.fast_All,0.0484968010156305,UK,adcont,all,1,5,predictors017,3
SL.glmnet_All,0.5876995208288991,UK,adcont,all,2,1,predictors017,3
SL.ranger.fast_All,0.3393124760424214,UK,adcont,all,2,1,predictors017,3
SL.xgboost.fast_All,0.07298800312867955,UK,adcont,all,2,1,predictors017,3
SL.glmnet_All,0.6152152679264463,UK,adcont,all,2,2,predictors017,3
SL.ranger.fast_All,0.2938870757375625,UK,adcont,all,2,2,predictors017,3
SL.xgboost.fast_All,0.0908976563359912,UK,adcont,all,2,2,predictors017,3
SL.glmnet_All,0.820698048717043,UK,adcont,all,2,3,predictors017,3
SL.ranger.fast_All,0.17815198717669936,UK,adcont,all,2,3,predictors017,3
SL.xgboost.fast_All,0.0011499641062575688,UK,adcont,all,2,3,predictors017,3
SL.glmnet_All,0.6150490952744763,UK,adcont,all,2,4,predictors017,3
SL.ranger.fast_All,0.302643652732365,UK,adcont,all,2,4,predictors017,3
SL.xgboost.fast_All,0.08230725199315865,UK,adcont,all,2,4,predictors017,3
SL.glmnet_All,0.5093535441653274,UK,adcont,all,2,5,predictors017,3
