Algo,Weight,Country,Outcome,Group,Rep,Fold,Predictor_Set,Min_Obs
SL.glmnet_All,0.35748528156439147,USA,adcont,all,1,1,predictorsusa,1
SL.ranger.fast_All,0.4091027922808608,USA,adcont,all,1,1,predictorsusa,1
SL.xgboost.fast_All,0.23341192615474773,USA,adcont,all,1,1,predictorsusa,1
SL.glmnet_All,0.4159103414558927,USA,adcont,all,1,2,predictorsusa,1
SL.ranger.fast_All,0.3797121302739972,USA,adcont,all,1,2,predictorsusa,1
SL.xgboost.fast_All,0.2043775282701102,USA,adcont,all,1,2,predictorsusa,1
SL.glmnet_All,0.41606971636282897,USA,adcont,all,1,3,predictorsusa,1
SL.ranger.fast_All,0.40503765415472587,USA,adcont,all,1,3,predictorsusa,1
SL.xgboost.fast_All,0.1788926294824452,USA,adcont,all,1,3,predictorsusa,1
SL.glmnet_All,0.2949003389550129,USA,adcont,all,1,4,predictorsusa,1
SL.ranger.fast_All,0.4815514905878611,USA,adcont,all,1,4,predictorsusa,1
SL.xgboost.fast_All,0.22354817045712597,USA,adcont,all,1,4,predictorsusa,1
SL.glmnet_All,0.33209200913027787,USA,adcont,all,1,5,predictorsusa,1
SL.ranger.fast_All,0.47015858469388977,USA,adcont,all,1,5,predictorsusa,1
SL.xgboost.fast_All,0.19774940617583225,USA,adcont,all,1,5,predictorsusa,1
