Algo,Weight,Country,Outcome,Group,Rep,Fold,Predictor_Set,Min_Obs
SL.glmnet_All,0.4786555474873558,USA,education,all,1,1,famincedu,3
SL.ranger.fast_All,0.5213444525126442,USA,education,all,1,1,famincedu,3
SL.xgboost.fast_All,0,USA,education,all,1,1,famincedu,3
SL.glmnet_All,0.5689049189534006,USA,education,all,1,2,famincedu,3
SL.ranger.fast_All,0.3543940380884059,USA,education,all,1,2,famincedu,3
SL.xgboost.fast_All,0.07670104295819358,USA,education,all,1,2,famincedu,3
SL.glmnet_All,0.5300725671367607,USA,education,all,1,3,famincedu,3
SL.ranger.fast_All,0.4437124791291585,USA,education,all,1,3,famincedu,3
SL.xgboost.fast_All,0.02621495373408089,USA,education,all,1,3,famincedu,3
SL.glmnet_All,0.6337539279913035,USA,education,all,1,4,famincedu,3
SL.ranger.fast_All,0.2527173373043416,USA,education,all,1,4,famincedu,3
SL.xgboost.fast_All,0.1135287347043549,USA,education,all,1,4,famincedu,3
SL.glmnet_All,0.6229209511813367,USA,education,all,1,5,famincedu,3
SL.ranger.fast_All,0.12890505464287713,USA,education,all,1,5,famincedu,3
SL.xgboost.fast_All,0.24817399417578617,USA,education,all,1,5,famincedu,3
SL.glmnet_All,0.6134019710027936,USA,education,all,2,1,famincedu,3
SL.ranger.fast_All,0.30458851047122565,USA,education,all,2,1,famincedu,3
SL.xgboost.fast_All,0.08200951852598073,USA,education,all,2,1,famincedu,3
SL.glmnet_All,0.5650309098979268,USA,education,all,2,2,famincedu,3
SL.ranger.fast_All,0.3430390778452437,USA,education,all,2,2,famincedu,3
SL.xgboost.fast_All,0.09193001225682945,USA,education,all,2,2,famincedu,3
SL.glmnet_All,0.5478290282376924,USA,education,all,2,3,famincedu,3
SL.ranger.fast_All,0.409432685823851,USA,education,all,2,3,famincedu,3
SL.xgboost.fast_All,0.042738285938456536,USA,education,all,2,3,famincedu,3
SL.glmnet_All,0.5257287958354568,USA,education,all,2,4,famincedu,3
SL.ranger.fast_All,0.10120808302745415,USA,education,all,2,4,famincedu,3
SL.xgboost.fast_All,0.37306312113708906,USA,education,all,2,4,famincedu,3
SL.glmnet_All,0.5911045004495747,USA,education,all,2,5,famincedu,3
SL.ranger.fast_All,0.12450973988010527,USA,education,all,2,5,famincedu,3
SL.xgboost.fast_All,0.28438575967031987,USA,education,all,2,5,famincedu,3
SL.glmnet_All,0.5441637237491299,USA,education,all,3,1,famincedu,3
SL.ranger.fast_All,0.23357894384517322,USA,education,all,3,1,famincedu,3
SL.xgboost.fast_All,0.2222573324056968,USA,education,all,3,1,famincedu,3
SL.glmnet_All,0.4978481382136001,USA,education,all,3,2,famincedu,3
SL.ranger.fast_All,0.48540961086075385,USA,education,all,3,2,famincedu,3
SL.xgboost.fast_All,0.016742250925646057,USA,education,all,3,2,famincedu,3
SL.glmnet_All,0.6655605308258012,USA,education,all,3,3,famincedu,3
SL.ranger.fast_All,0.2476090189519596,USA,education,all,3,3,famincedu,3
SL.xgboost.fast_All,0.08683045022223908,USA,education,all,3,3,famincedu,3
SL.glmnet_All,0.6040765859812223,USA,education,all,3,4,famincedu,3
SL.ranger.fast_All,0.33257579867325787,USA,education,all,3,4,famincedu,3
SL.xgboost.fast_All,0.06334761534551996,USA,education,all,3,4,famincedu,3
SL.glmnet_All,0.6109202383413483,USA,education,all,3,5,famincedu,3
SL.ranger.fast_All,0.2131727345633177,USA,education,all,3,5,famincedu,3
SL.xgboost.fast_All,0.17590702709533396,USA,education,all,3,5,famincedu,3
SL.glmnet_All,0.9472221065597628,GERMANY,education,all,1,1,famincedu,3
SL.ranger.fast_All,0,GERMANY,education,all,1,1,famincedu,3
SL.xgboost.fast_All,0.052777893440237214,GERMANY,education,all,1,1,famincedu,3
SL.glmnet_All,0.8093241689405831,GERMANY,education,all,1,2,famincedu,3
SL.ranger.fast_All,0.19067583105941688,GERMANY,education,all,1,2,famincedu,3
SL.xgboost.fast_All,0,GERMANY,education,all,1,2,famincedu,3
SL.glmnet_All,0.9086020380872527,GERMANY,education,all,1,3,famincedu,3
SL.ranger.fast_All,0.09139796191274734,GERMANY,education,all,1,3,famincedu,3
SL.xgboost.fast_All,0,GERMANY,education,all,1,3,famincedu,3
SL.glmnet_All,0.7446783902723384,GERMANY,education,all,1,4,famincedu,3
SL.ranger.fast_All,0.25532160972766155,GERMANY,education,all,1,4,famincedu,3
SL.xgboost.fast_All,0,GERMANY,education,all,1,4,famincedu,3
SL.glmnet_All,0.6485731556670228,GERMANY,education,all,1,5,famincedu,3
SL.ranger.fast_All,0.3514268443329771,GERMANY,education,all,1,5,famincedu,3
SL.xgboost.fast_All,0,GERMANY,education,all,1,5,famincedu,3
SL.glmnet_All,1,GERMANY,education,all,2,1,famincedu,3
SL.ranger.fast_All,0,GERMANY,education,all,2,1,famincedu,3
SL.xgboost.fast_All,0,GERMANY,education,all,2,1,famincedu,3
SL.glmnet_All,0.7287279944340785,GERMANY,education,all,2,2,famincedu,3
SL.ranger.fast_All,0.27127200556592157,GERMANY,education,all,2,2,famincedu,3
SL.xgboost.fast_All,0,GERMANY,education,all,2,2,famincedu,3
SL.glmnet_All,0.7803348989850507,GERMANY,education,all,2,3,famincedu,3
SL.ranger.fast_All,0.21966510101494946,GERMANY,education,all,2,3,famincedu,3
SL.xgboost.fast_All,0,GERMANY,education,all,2,3,famincedu,3
SL.glmnet_All,0.9191392355589248,GERMANY,education,all,2,4,famincedu,3
SL.ranger.fast_All,0.0808607644410752,GERMANY,education,all,2,4,famincedu,3
SL.xgboost.fast_All,0,GERMANY,education,all,2,4,famincedu,3
SL.glmnet_All,0.7699145252335295,GERMANY,education,all,2,5,famincedu,3
SL.ranger.fast_All,0,GERMANY,education,all,2,5,famincedu,3
SL.xgboost.fast_All,0.23008547476647048,GERMANY,education,all,2,5,famincedu,3
SL.glmnet_All,0.8803552210432943,GERMANY,education,all,3,1,famincedu,3
SL.ranger.fast_All,0.11964477895670568,GERMANY,education,all,3,1,famincedu,3
SL.xgboost.fast_All,0,GERMANY,education,all,3,1,famincedu,3
SL.glmnet_All,0.43682890876629493,GERMANY,education,all,3,2,famincedu,3
SL.ranger.fast_All,0.5631710912337051,GERMANY,education,all,3,2,famincedu,3
SL.xgboost.fast_All,0,GERMANY,education,all,3,2,famincedu,3
SL.glmnet_All,1,GERMANY,education,all,3,3,famincedu,3
SL.ranger.fast_All,0,GERMANY,education,all,3,3,famincedu,3
SL.xgboost.fast_All,0,GERMANY,education,all,3,3,famincedu,3
SL.glmnet_All,0.6690563327371075,GERMANY,education,all,3,4,famincedu,3
SL.ranger.fast_All,0.33094366726289237,GERMANY,education,all,3,4,famincedu,3
SL.xgboost.fast_All,0,GERMANY,education,all,3,4,famincedu,3
SL.glmnet_All,0.8975828906384349,GERMANY,education,all,3,5,famincedu,3
SL.ranger.fast_All,0.10241710936156516,GERMANY,education,all,3,5,famincedu,3
SL.xgboost.fast_All,0,GERMANY,education,all,3,5,famincedu,3
SL.glmnet_All,0.8019309357689136,AUSTRALIA,education,all,1,1,famincedu,3
SL.ranger.fast_All,0,AUSTRALIA,education,all,1,1,famincedu,3
SL.xgboost.fast_All,0.19806906423108642,AUSTRALIA,education,all,1,1,famincedu,3
SL.glmnet_All,0.7892019104704924,AUSTRALIA,education,all,1,2,famincedu,3
SL.ranger.fast_All,0,AUSTRALIA,education,all,1,2,famincedu,3
SL.xgboost.fast_All,0.2107980895295076,AUSTRALIA,education,all,1,2,famincedu,3
SL.glmnet_All,0.8323008630998949,AUSTRALIA,education,all,1,3,famincedu,3
SL.ranger.fast_All,0,AUSTRALIA,education,all,1,3,famincedu,3
SL.xgboost.fast_All,0.16769913690010504,AUSTRALIA,education,all,1,3,famincedu,3
SL.glmnet_All,0.9614412089719419,AUSTRALIA,education,all,1,4,famincedu,3
SL.ranger.fast_All,0,AUSTRALIA,education,all,1,4,famincedu,3
