Algo,Weight,Country,Outcome,Group,Rep,Fold,Predictor_Set,Min_Obs
SL.glmnet_All,0.4003642817389088,USA,education,all,1,1,predictors010,3
SL.ranger.fast_All,0.5148579424683095,USA,education,all,1,1,predictors010,3
SL.xgboost.fast_All,0.0847777757927817,USA,education,all,1,1,predictors010,3
SL.glmnet_All,0.3687869832894219,USA,education,all,1,2,predictors010,3
SL.ranger.fast_All,0.47056577561990337,USA,education,all,1,2,predictors010,3
SL.xgboost.fast_All,0.16064724109067471,USA,education,all,1,2,predictors010,3
SL.glmnet_All,0.4159177991062327,USA,education,all,1,3,predictors010,3
SL.ranger.fast_All,0.48129273532867134,USA,education,all,1,3,predictors010,3
SL.xgboost.fast_All,0.10278946556509587,USA,education,all,1,3,predictors010,3
SL.glmnet_All,0.3698037735523329,USA,education,all,1,4,predictors010,3
SL.ranger.fast_All,0.4800879833498743,USA,education,all,1,4,predictors010,3
SL.xgboost.fast_All,0.1501082430977929,USA,education,all,1,4,predictors010,3
SL.glmnet_All,0.44191486757038684,USA,education,all,1,5,predictors010,3
SL.ranger.fast_All,0.5121122918586242,USA,education,all,1,5,predictors010,3
SL.xgboost.fast_All,0.045972840570988965,USA,education,all,1,5,predictors010,3
SL.glmnet_All,0.377049565555448,USA,education,all,2,1,predictors010,3
SL.ranger.fast_All,0.5426656139207504,USA,education,all,2,1,predictors010,3
SL.xgboost.fast_All,0.08028482052380163,USA,education,all,2,1,predictors010,3
SL.glmnet_All,0.47668726423755503,USA,education,all,2,2,predictors010,3
SL.ranger.fast_All,0.4118657932718354,USA,education,all,2,2,predictors010,3
SL.xgboost.fast_All,0.11144694249060963,USA,education,all,2,2,predictors010,3
SL.glmnet_All,0.38286447183262257,USA,education,all,2,3,predictors010,3
SL.ranger.fast_All,0.5197908689925181,USA,education,all,2,3,predictors010,3
SL.xgboost.fast_All,0.09734465917485922,USA,education,all,2,3,predictors010,3
SL.glmnet_All,0.44558539688819604,USA,education,all,2,4,predictors010,3
SL.ranger.fast_All,0.4476260338262573,USA,education,all,2,4,predictors010,3
SL.xgboost.fast_All,0.10678856928554668,USA,education,all,2,4,predictors010,3
SL.glmnet_All,0.3997678548510131,USA,education,all,2,5,predictors010,3
SL.ranger.fast_All,0.4995460509304485,USA,education,all,2,5,predictors010,3
SL.xgboost.fast_All,0.10068609421853834,USA,education,all,2,5,predictors010,3
