Algo,Weight,Country,Outcome,Group,Rep,Fold,Predictor_Set,Min_Obs
SL.glmnet_All,0.3412082528411473,USA,education,all,1,1,predictorsusa,1
SL.ranger.fast_All,0.46115762200201954,USA,education,all,1,1,predictorsusa,1
SL.xgboost.fast_All,0.19763412515683307,USA,education,all,1,1,predictorsusa,1
SL.glmnet_All,0.34170307382519394,USA,education,all,1,2,predictorsusa,1
SL.ranger.fast_All,0.506690501698641,USA,education,all,1,2,predictorsusa,1
SL.xgboost.fast_All,0.15160642447616515,USA,education,all,1,2,predictorsusa,1
SL.glmnet_All,0.33960152232786134,USA,education,all,1,3,predictorsusa,1
SL.ranger.fast_All,0.5424832195633699,USA,education,all,1,3,predictorsusa,1
SL.xgboost.fast_All,0.11791525810876886,USA,education,all,1,3,predictorsusa,1
SL.glmnet_All,0.3130328442956134,USA,education,all,1,4,predictorsusa,1
SL.ranger.fast_All,0.5047842956437695,USA,education,all,1,4,predictorsusa,1
SL.xgboost.fast_All,0.18218286006061712,USA,education,all,1,4,predictorsusa,1
SL.glmnet_All,0.31244686093010593,USA,education,all,1,5,predictorsusa,1
SL.ranger.fast_All,0.550942218858334,USA,education,all,1,5,predictorsusa,1
SL.xgboost.fast_All,0.13661092021155993,USA,education,all,1,5,predictorsusa,1
