Algo,Weight,Country,Outcome,Group,Rep,Fold,Predictor_Set,Min_Obs
SL.glmnet_All,0.8500047744412983,USA,poverty,all,1,1,famincedu,3
SL.ranger.fast_All,0,USA,poverty,all,1,1,famincedu,3
SL.xgboost.fast_All,0.14999522555870176,USA,poverty,all,1,1,famincedu,3
SL.glmnet_All,0.8046406348410066,USA,poverty,all,1,2,famincedu,3
SL.ranger.fast_All,0.05284199344641641,USA,poverty,all,1,2,famincedu,3
SL.xgboost.fast_All,0.14251737171257708,USA,poverty,all,1,2,famincedu,3
SL.glmnet_All,0.9751688038753253,USA,poverty,all,1,3,famincedu,3
SL.ranger.fast_All,0,USA,poverty,all,1,3,famincedu,3
SL.xgboost.fast_All,0.024831196124674656,USA,poverty,all,1,3,famincedu,3
SL.glmnet_All,1,USA,poverty,all,1,4,famincedu,3
SL.ranger.fast_All,0,USA,poverty,all,1,4,famincedu,3
SL.xgboost.fast_All,0,USA,poverty,all,1,4,famincedu,3
SL.glmnet_All,0.9185223342377521,USA,poverty,all,1,5,famincedu,3
SL.ranger.fast_All,0,USA,poverty,all,1,5,famincedu,3
SL.xgboost.fast_All,0.0814776657622478,USA,poverty,all,1,5,famincedu,3
SL.glmnet_All,1,USA,poverty,all,2,1,famincedu,3
SL.ranger.fast_All,0,USA,poverty,all,2,1,famincedu,3
SL.xgboost.fast_All,0,USA,poverty,all,2,1,famincedu,3
SL.glmnet_All,0.861705421577568,USA,poverty,all,2,2,famincedu,3
SL.ranger.fast_All,0,USA,poverty,all,2,2,famincedu,3
SL.xgboost.fast_All,0.13829457842243195,USA,poverty,all,2,2,famincedu,3
SL.glmnet_All,1,USA,poverty,all,2,3,famincedu,3
SL.ranger.fast_All,0,USA,poverty,all,2,3,famincedu,3
SL.xgboost.fast_All,0,USA,poverty,all,2,3,famincedu,3
SL.glmnet_All,0.9050157192506884,USA,poverty,all,2,4,famincedu,3
SL.ranger.fast_All,0,USA,poverty,all,2,4,famincedu,3
SL.xgboost.fast_All,0.09498428074931163,USA,poverty,all,2,4,famincedu,3
SL.glmnet_All,0.7494485114093452,USA,poverty,all,2,5,famincedu,3
SL.ranger.fast_All,0.06858843150154939,USA,poverty,all,2,5,famincedu,3
SL.xgboost.fast_All,0.1819630570891055,USA,poverty,all,2,5,famincedu,3
SL.glmnet_All,1,USA,poverty,all,3,1,famincedu,3
SL.ranger.fast_All,0,USA,poverty,all,3,1,famincedu,3
SL.xgboost.fast_All,0,USA,poverty,all,3,1,famincedu,3
SL.glmnet_All,0.8403633550810418,USA,poverty,all,3,2,famincedu,3
SL.ranger.fast_All,0.07759097603662865,USA,poverty,all,3,2,famincedu,3
SL.xgboost.fast_All,0.08204566888232953,USA,poverty,all,3,2,famincedu,3
SL.glmnet_All,1,USA,poverty,all,3,3,famincedu,3
SL.ranger.fast_All,0,USA,poverty,all,3,3,famincedu,3
SL.xgboost.fast_All,0,USA,poverty,all,3,3,famincedu,3
SL.glmnet_All,0.8889579775772158,USA,poverty,all,3,4,famincedu,3
