Algo,Weight,Country,Outcome,Group,Rep,Fold,Predictor_Set,Min_Obs
SL.glmnet_All,0.4060867991390458,USA,poverty,all,1,1,predictors010,3
SL.ranger.fast_All,0.4061354471438345,USA,poverty,all,1,1,predictors010,3
SL.xgboost.fast_All,0.1877777537171197,USA,poverty,all,1,1,predictors010,3
SL.glmnet_All,0.4140950684356588,USA,poverty,all,1,2,predictors010,3
SL.ranger.fast_All,0.49214055409874546,USA,poverty,all,1,2,predictors010,3
SL.xgboost.fast_All,0.09376437746559592,USA,poverty,all,1,2,predictors010,3
SL.glmnet_All,0.4346482246126785,USA,poverty,all,1,3,predictors010,3
SL.ranger.fast_All,0.465927686250474,USA,poverty,all,1,3,predictors010,3
SL.xgboost.fast_All,0.0994240891368476,USA,poverty,all,1,3,predictors010,3
SL.glmnet_All,0.3340224045711778,USA,poverty,all,1,4,predictors010,3
SL.ranger.fast_All,0.6039844341752899,USA,poverty,all,1,4,predictors010,3
SL.xgboost.fast_All,0.061993161253532256,USA,poverty,all,1,4,predictors010,3
SL.glmnet_All,0.36087386348775025,USA,poverty,all,1,5,predictors010,3
SL.ranger.fast_All,0.5085009873195754,USA,poverty,all,1,5,predictors010,3
SL.xgboost.fast_All,0.13062514919267426,USA,poverty,all,1,5,predictors010,3
SL.glmnet_All,0.46833445929220485,USA,poverty,all,2,1,predictors010,3
SL.ranger.fast_All,0.40918448597863266,USA,poverty,all,2,1,predictors010,3
SL.xgboost.fast_All,0.12248105472916233,USA,poverty,all,2,1,predictors010,3
SL.glmnet_All,0.4517661189324601,USA,poverty,all,2,2,predictors010,3
SL.ranger.fast_All,0.4047240559704613,USA,poverty,all,2,2,predictors010,3
SL.xgboost.fast_All,0.14350982509707866,USA,poverty,all,2,2,predictors010,3
SL.glmnet_All,0.3650090288481115,USA,poverty,all,2,3,predictors010,3
SL.ranger.fast_All,0.5364959716896689,USA,poverty,all,2,3,predictors010,3
SL.xgboost.fast_All,0.09849499946221962,USA,poverty,all,2,3,predictors010,3
SL.glmnet_All,0.38093630522991156,USA,poverty,all,2,4,predictors010,3
SL.ranger.fast_All,0.5374325975526753,USA,poverty,all,2,4,predictors010,3
SL.xgboost.fast_All,0.08163109721741311,USA,poverty,all,2,4,predictors010,3
SL.glmnet_All,0.33213791806446263,USA,poverty,all,2,5,predictors010,3
SL.ranger.fast_All,0.52424745950975,USA,poverty,all,2,5,predictors010,3
SL.xgboost.fast_All,0.14361462242578735,USA,poverty,all,2,5,predictors010,3
SL.glmnet_All,0.3407361975317683,USA,poverty,all,3,1,predictors010,3
SL.ranger.fast_All,0.5606059110767413,USA,poverty,all,3,1,predictors010,3
SL.xgboost.fast_All,0.09865789139149032,USA,poverty,all,3,1,predictors010,3
SL.glmnet_All,0.3633510509092099,USA,poverty,all,3,2,predictors010,3
SL.ranger.fast_All,0.5109517031213551,USA,poverty,all,3,2,predictors010,3
SL.xgboost.fast_All,0.12569724596943488,USA,poverty,all,3,2,predictors010,3
