Algo,Weight,Country,Outcome,Group,Rep,Fold,Predictor_Set,Min_Obs
SL.glmnet_All,0.27693890437156155,USA,poverty,all,1,1,predictorsusa,1
SL.ranger.fast_All,0.6197443879961357,USA,poverty,all,1,1,predictorsusa,1
SL.xgboost.fast_All,0.10331670763230277,USA,poverty,all,1,1,predictorsusa,1
SL.glmnet_All,0.3325597055246803,USA,poverty,all,1,2,predictorsusa,1
SL.ranger.fast_All,0.5961816926180903,USA,poverty,all,1,2,predictorsusa,1
SL.xgboost.fast_All,0.0712586018572293,USA,poverty,all,1,2,predictorsusa,1
SL.glmnet_All,0.3711424066116806,USA,poverty,all,1,3,predictorsusa,1
SL.ranger.fast_All,0.589458376412511,USA,poverty,all,1,3,predictorsusa,1
SL.xgboost.fast_All,0.039399216975808435,USA,poverty,all,1,3,predictorsusa,1
SL.glmnet_All,0.358642052441732,USA,poverty,all,1,4,predictorsusa,1
SL.ranger.fast_All,0.5757555049150356,USA,poverty,all,1,4,predictorsusa,1
SL.xgboost.fast_All,0.06560244264323233,USA,poverty,all,1,4,predictorsusa,1
SL.glmnet_All,0.2876191462614754,USA,poverty,all,1,5,predictorsusa,1
SL.ranger.fast_All,0.6169865203283925,USA,poverty,all,1,5,predictorsusa,1
SL.xgboost.fast_All,0.09539433341013194,USA,poverty,all,1,5,predictorsusa,1
