Algo,Weight,Country,Outcome,Group,Rep,Fold,Predictor_Set,Min_Obs
SL.glmnet_All,0.77958299108261,USA,top10,all,1,1,famincedu,3
SL.ranger.fast_All,0.22041700891739002,USA,top10,all,1,1,famincedu,3
SL.xgboost.fast_All,0,USA,top10,all,1,1,famincedu,3
SL.glmnet_All,0.9841078292399668,USA,top10,all,1,2,famincedu,3
SL.ranger.fast_All,0,USA,top10,all,1,2,famincedu,3
SL.xgboost.fast_All,0.015892170760033273,USA,top10,all,1,2,famincedu,3
SL.glmnet_All,0.6044552319985956,USA,top10,all,1,3,famincedu,3
SL.ranger.fast_All,0.12807033201544896,USA,top10,all,1,3,famincedu,3
SL.xgboost.fast_All,0.26747443598595544,USA,top10,all,1,3,famincedu,3
SL.glmnet_All,1,USA,top10,all,1,4,famincedu,3
SL.ranger.fast_All,0,USA,top10,all,1,4,famincedu,3
SL.xgboost.fast_All,0,USA,top10,all,1,4,famincedu,3
SL.glmnet_All,1,USA,top10,all,1,5,famincedu,3
SL.ranger.fast_All,0,USA,top10,all,1,5,famincedu,3
SL.xgboost.fast_All,0,USA,top10,all,1,5,famincedu,3
SL.glmnet_All,0.8059103501603765,USA,top10,all,2,1,famincedu,3
SL.ranger.fast_All,0,USA,top10,all,2,1,famincedu,3
SL.xgboost.fast_All,0.1940896498396235,USA,top10,all,2,1,famincedu,3
SL.glmnet_All,0.9601273795156714,USA,top10,all,2,2,famincedu,3
SL.ranger.fast_All,0,USA,top10,all,2,2,famincedu,3
SL.xgboost.fast_All,0.03987262048432861,USA,top10,all,2,2,famincedu,3
SL.glmnet_All,0.889454905507901,USA,top10,all,2,3,famincedu,3
SL.ranger.fast_All,0.030709952374390604,USA,top10,all,2,3,famincedu,3
SL.xgboost.fast_All,0.07983514211770851,USA,top10,all,2,3,famincedu,3
SL.glmnet_All,0.6856147614660117,USA,top10,all,2,4,famincedu,3
SL.ranger.fast_All,0.11937117425068891,USA,top10,all,2,4,famincedu,3
SL.xgboost.fast_All,0.1950140642832993,USA,top10,all,2,4,famincedu,3
SL.glmnet_All,1,USA,top10,all,2,5,famincedu,3
SL.ranger.fast_All,0,USA,top10,all,2,5,famincedu,3
SL.xgboost.fast_All,0,USA,top10,all,2,5,famincedu,3
SL.glmnet_All,0.83279918096921135,USA,top10,all,3,1,famincedu,3
SL.ranger.fast_All,0,USA,top10,all,3,1,famincedu,3
SL.xgboost.fast_All,0.16720081903078862,USA,top10,all,3,1,famincedu,3
SL.glmnet_All,1,USA,top10,all,3,2,famincedu,3
SL.ranger.fast_All,0,USA,top10,all,3,2,famincedu,3
SL.xgboost.fast_All,0,USA,top10,all,3,2,famincedu,3
SL.glmnet_All,0.8433102048399405,USA,top10,all,3,3,famincedu,3
SL.ranger.fast_All,0,USA,top10,all,3,3,famincedu,3
SL.xgboost.fast_All,0.15668979516005968,USA,top10,all,3,3,famincedu,3
SL.glmnet_All,0.881170705137614,USA,top10,all,3,4,famincedu,3
SL.ranger.fast_All,0.11882929486238614,USA,top10,all,3,4,famincedu,3
SL.xgboost.fast_All,0,USA,top10,all,3,4,famincedu,3
SL.glmnet_All,0.910837791761013,USA,top10,all,3,5,famincedu,3
SL.ranger.fast_All,0,USA,top10,all,3,5,famincedu,3
SL.xgboost.fast_All,0.08916220823898713,USA,top10,all,3,5,famincedu,3
SL.glmnet_All,1,GERMANY,top10,all,1,1,famincedu,3
SL.ranger.fast_All,0,GERMANY,top10,all,1,1,famincedu,3
SL.xgboost.fast_All,0,GERMANY,top10,all,1,1,famincedu,3
SL.glmnet_All,0.8661774220664384,GERMANY,top10,all,1,2,famincedu,3
SL.ranger.fast_All,0.13382257793356148,GERMANY,top10,all,1,2,famincedu,3
SL.xgboost.fast_All,0,GERMANY,top10,all,1,2,famincedu,3
SL.glmnet_All,0.7360613999968887,GERMANY,top10,all,1,3,famincedu,3
SL.ranger.fast_All,0.20525052325476656,GERMANY,top10,all,1,3,famincedu,3
SL.xgboost.fast_All,0.058688076748344864,GERMANY,top10,all,1,3,famincedu,3
SL.glmnet_All,1,GERMANY,top10,all,1,4,famincedu,3
SL.ranger.fast_All,0,GERMANY,top10,all,1,4,famincedu,3
SL.xgboost.fast_All,0,GERMANY,top10,all,1,4,famincedu,3
SL.glmnet_All,0.7195708260011997,GERMANY,top10,all,1,5,famincedu,3
SL.ranger.fast_All,0.2804291739988002,GERMANY,top10,all,1,5,famincedu,3
SL.xgboost.fast_All,0,GERMANY,top10,all,1,5,famincedu,3
SL.glmnet_All,1,GERMANY,top10,all,2,1,famincedu,3
SL.ranger.fast_All,0,GERMANY,top10,all,2,1,famincedu,3
SL.xgboost.fast_All,0,GERMANY,top10,all,2,1,famincedu,3
SL.glmnet_All,1,GERMANY,top10,all,2,2,famincedu,3
SL.ranger.fast_All,0,GERMANY,top10,all,2,2,famincedu,3
SL.xgboost.fast_All,0,GERMANY,top10,all,2,2,famincedu,3
SL.glmnet_All,0.765668428044285,GERMANY,top10,all,2,3,famincedu,3
SL.ranger.fast_All,0.23433157195571494,GERMANY,top10,all,2,3,famincedu,3
SL.xgboost.fast_All,0,GERMANY,top10,all,2,3,famincedu,3
SL.glmnet_All,0.9069102001140863,GERMANY,top10,all,2,4,famincedu,3
