Algo,Weight,Country,Outcome,Group,Rep,Fold,Predictor_Set,Min_Obs
SL.glmnet_All,0.4961976750959654,USA,top10,all,1,1,predictors017,3
SL.ranger.fast_All,0.38056926395405977,USA,top10,all,1,1,predictors017,3
SL.xgboost.fast_All,0.12323306094997498,USA,top10,all,1,1,predictors017,3
SL.glmnet_All,0.6580948584948803,USA,top10,all,1,2,predictors017,3
SL.ranger.fast_All,0.22724039132102966,USA,top10,all,1,2,predictors017,3
SL.xgboost.fast_All,0.11466475018409009,USA,top10,all,1,2,predictors017,3
SL.glmnet_All,0.3888812133688345,USA,top10,all,1,3,predictors017,3
SL.ranger.fast_All,0.47187307938006035,USA,top10,all,1,3,predictors017,3
SL.xgboost.fast_All,0.13924570725110516,USA,top10,all,1,3,predictors017,3
SL.glmnet_All,0.4861742195047888,USA,top10,all,1,4,predictors017,3
SL.ranger.fast_All,0.30454430457418813,USA,top10,all,1,4,predictors017,3
SL.xgboost.fast_All,0.20928147592102317,USA,top10,all,1,4,predictors017,3
SL.glmnet_All,0.6466244931987291,USA,top10,all,1,5,predictors017,3
SL.ranger.fast_All,0.2455647046007699,USA,top10,all,1,5,predictors017,3
SL.xgboost.fast_All,0.10781080220050106,USA,top10,all,1,5,predictors017,3
SL.glmnet_All,0.7340627493600591,USA,top10,all,2,1,predictors017,3
SL.ranger.fast_All,0.09575999200294315,USA,top10,all,2,1,predictors017,3
SL.xgboost.fast_All,0.17017725863699762,USA,top10,all,2,1,predictors017,3
SL.glmnet_All,0.6537847113695889,USA,top10,all,2,2,predictors017,3
SL.ranger.fast_All,0.2197791005676898,USA,top10,all,2,2,predictors017,3
SL.xgboost.fast_All,0.12643618806272142,USA,top10,all,2,2,predictors017,3
SL.glmnet_All,0.47907978274340185,USA,top10,all,2,3,predictors017,3
SL.ranger.fast_All,0.34282764207835836,USA,top10,all,2,3,predictors017,3
SL.xgboost.fast_All,0.17809257517823981,USA,top10,all,2,3,predictors017,3
SL.glmnet_All,0.808186004679526,USA,top10,all,2,4,predictors017,3
SL.ranger.fast_All,0.05019348597368519,USA,top10,all,2,4,predictors017,3
SL.xgboost.fast_All,0.14162050934678874,USA,top10,all,2,4,predictors017,3
SL.glmnet_All,0.7194457440766461,USA,top10,all,2,5,predictors017,3
SL.ranger.fast_All,0.19813012239028382,USA,top10,all,2,5,predictors017,3
SL.xgboost.fast_All,0.0824241335330701,USA,top10,all,2,5,predictors017,3
SL.glmnet_All,0.6497514066872428,USA,top10,all,3,1,predictors017,3
SL.ranger.fast_All,0.23525041745209513,USA,top10,all,3,1,predictors017,3
SL.xgboost.fast_All,0.11499817586066206,USA,top10,all,3,1,predictors017,3
SL.glmnet_All,0.5926532312978128,USA,top10,all,3,2,predictors017,3
SL.ranger.fast_All,0.2241209736611971,USA,top10,all,3,2,predictors017,3
SL.xgboost.fast_All,0.1832257950409901,USA,top10,all,3,2,predictors017,3
SL.glmnet_All,0.7230777420883672,USA,top10,all,3,3,predictors017,3
SL.ranger.fast_All,0.1973043179953382,USA,top10,all,3,3,predictors017,3
SL.xgboost.fast_All,0.07961793991629451,USA,top10,all,3,3,predictors017,3
SL.glmnet_All,0.7346755857735985,USA,top10,all,3,4,predictors017,3
