Algo,Weight,Country,Outcome,Group,Rep,Fold,Predictor_Set,Min_Obs
SL.glmnet_All,0.5620447420848925,USA,adcont,all,1,1,famincedu,1
SL.ranger.fast_All,0.22578300261176454,USA,adcont,all,1,1,famincedu,1
SL.xgboost.fast_All,0.21217225530334274,USA,adcont,all,1,1,famincedu,1
SL.glmnet_All,0.8250679651700453,USA,adcont,all,1,2,famincedu,1
SL.ranger.fast_All,0.10274465176888256,USA,adcont,all,1,2,famincedu,1
SL.xgboost.fast_All,0.07218738306107214,USA,adcont,all,1,2,famincedu,1
SL.glmnet_All,0.6922024675163336,USA,adcont,all,1,3,famincedu,1
SL.ranger.fast_All,0.05001542354321991,USA,adcont,all,1,3,famincedu,1
SL.xgboost.fast_All,0.2577821089404465,USA,adcont,all,1,3,famincedu,1
SL.glmnet_All,0.7069430554457194,USA,adcont,all,1,4,famincedu,1
SL.ranger.fast_All,0.09152697960254491,USA,adcont,all,1,4,famincedu,1
SL.xgboost.fast_All,0.2015299649517357,USA,adcont,all,1,4,famincedu,1
SL.glmnet_All,0.6015014247336924,USA,adcont,all,1,5,famincedu,1
SL.ranger.fast_All,0.36342810307682116,USA,adcont,all,1,5,famincedu,1
SL.xgboost.fast_All,0.03507047218948648,USA,adcont,all,1,5,famincedu,1
SL.glmnet_All,0.6689821133446787,USA,adcont,all,2,1,famincedu,1
SL.ranger.fast_All,0.10961030123482807,USA,adcont,all,2,1,famincedu,1
SL.xgboost.fast_All,0.22140758542049319,USA,adcont,all,2,1,famincedu,1
SL.glmnet_All,0.625029759097896,USA,adcont,all,2,2,famincedu,1
SL.ranger.fast_All,0.3221515397728125,USA,adcont,all,2,2,famincedu,1
SL.xgboost.fast_All,0.0528187011292915,USA,adcont,all,2,2,famincedu,1
SL.glmnet_All,0.7414986296008629,USA,adcont,all,2,3,famincedu,1
SL.ranger.fast_All,0.10945131996840224,USA,adcont,all,2,3,famincedu,1
SL.xgboost.fast_All,0.14905005043073494,USA,adcont,all,2,3,famincedu,1
SL.glmnet_All,0.7111651578612208,USA,adcont,all,2,4,famincedu,1
SL.ranger.fast_All,0,USA,adcont,all,2,4,famincedu,1
SL.xgboost.fast_All,0.2888348421387791,USA,adcont,all,2,4,famincedu,1
SL.glmnet_All,0.70581538634157,USA,adcont,all,2,5,famincedu,1
SL.ranger.fast_All,0.07152352538305146,USA,adcont,all,2,5,famincedu,1
SL.xgboost.fast_All,0.22266108827537845,USA,adcont,all,2,5,famincedu,1
SL.glmnet_All,0.6467237316462159,USA,adcont,all,3,1,famincedu,1
SL.ranger.fast_All,0.20724226137100787,USA,adcont,all,3,1,famincedu,1
SL.xgboost.fast_All,0.14603400698277633,USA,adcont,all,3,1,famincedu,1
SL.glmnet_All,0.6863822578679017,USA,adcont,all,3,2,famincedu,1
SL.ranger.fast_All,0.07686917194725656,USA,adcont,all,3,2,famincedu,1
SL.xgboost.fast_All,0.23674857018484177,USA,adcont,all,3,2,famincedu,1
SL.glmnet_All,0.6514687092965249,USA,adcont,all,3,3,famincedu,1
SL.ranger.fast_All,0.014109881588376358,USA,adcont,all,3,3,famincedu,1
SL.xgboost.fast_All,0.33442140911509893,USA,adcont,all,3,3,famincedu,1
SL.glmnet_All,0.754775860708837,USA,adcont,all,3,4,famincedu,1
SL.ranger.fast_All,0.02778313826945774,USA,adcont,all,3,4,famincedu,1
SL.xgboost.fast_All,0.21744100102170533,USA,adcont,all,3,4,famincedu,1
SL.glmnet_All,0.7180135481693738,USA,adcont,all,3,5,famincedu,1
SL.ranger.fast_All,0,USA,adcont,all,3,5,famincedu,1
SL.xgboost.fast_All,0.28198645183062615,USA,adcont,all,3,5,famincedu,1
SL.glmnet_All,0.8810231150166717,GERMANY,adcont,all,1,1,famincedu,1
SL.ranger.fast_All,0.1189768849833282,GERMANY,adcont,all,1,1,famincedu,1
SL.xgboost.fast_All,0,GERMANY,adcont,all,1,1,famincedu,1
SL.glmnet_All,1,GERMANY,adcont,all,1,2,famincedu,1
SL.ranger.fast_All,0,GERMANY,adcont,all,1,2,famincedu,1
SL.xgboost.fast_All,0,GERMANY,adcont,all,1,2,famincedu,1
SL.glmnet_All,0.9808420167955049,GERMANY,adcont,all,1,3,famincedu,1
SL.ranger.fast_All,0.01915798320449519,GERMANY,adcont,all,1,3,famincedu,1
SL.xgboost.fast_All,0,GERMANY,adcont,all,1,3,famincedu,1
SL.glmnet_All,1,GERMANY,adcont,all,1,4,famincedu,1
SL.ranger.fast_All,0,GERMANY,adcont,all,1,4,famincedu,1
SL.xgboost.fast_All,0,GERMANY,adcont,all,1,4,famincedu,1
SL.glmnet_All,0.9940409000520121,GERMANY,adcont,all,1,5,famincedu,1
SL.ranger.fast_All,0.005959099947987973,GERMANY,adcont,all,1,5,famincedu,1
SL.xgboost.fast_All,0,GERMANY,adcont,all,1,5,famincedu,1
SL.glmnet_All,1,GERMANY,adcont,all,2,1,famincedu,1
SL.ranger.fast_All,0,GERMANY,adcont,all,2,1,famincedu,1
SL.xgboost.fast_All,0,GERMANY,adcont,all,2,1,famincedu,1
SL.glmnet_All,1,GERMANY,adcont,all,2,2,famincedu,1
SL.ranger.fast_All,0,GERMANY,adcont,all,2,2,famincedu,1
SL.xgboost.fast_All,0,GERMANY,adcont,all,2,2,famincedu,1
SL.glmnet_All,1,GERMANY,adcont,all,2,3,famincedu,1
SL.ranger.fast_All,0,GERMANY,adcont,all,2,3,famincedu,1
SL.xgboost.fast_All,0,GERMANY,adcont,all,2,3,famincedu,1
SL.glmnet_All,0.8673736157039879,GERMANY,adcont,all,2,4,famincedu,1
SL.ranger.fast_All,0.13262638429601217,GERMANY,adcont,all,2,4,famincedu,1
SL.xgboost.fast_All,0,GERMANY,adcont,all,2,4,famincedu,1
SL.glmnet_All,1,GERMANY,adcont,all,2,5,famincedu,1
SL.ranger.fast_All,0,GERMANY,adcont,all,2,5,famincedu,1
SL.xgboost.fast_All,0,GERMANY,adcont,all,2,5,famincedu,1
SL.glmnet_All,1,GERMANY,adcont,all,3,1,famincedu,1
SL.ranger.fast_All,0,GERMANY,adcont,all,3,1,famincedu,1
SL.xgboost.fast_All,0,GERMANY,adcont,all,3,1,famincedu,1
SL.glmnet_All,1,GERMANY,adcont,all,3,2,famincedu,1
SL.ranger.fast_All,0,GERMANY,adcont,all,3,2,famincedu,1
SL.xgboost.fast_All,0,GERMANY,adcont,all,3,2,famincedu,1
SL.glmnet_All,1,GERMANY,adcont,all,3,3,famincedu,1
SL.ranger.fast_All,0,GERMANY,adcont,all,3,3,famincedu,1
SL.xgboost.fast_All,0,GERMANY,adcont,all,3,3,famincedu,1
SL.glmnet_All,1,GERMANY,adcont,all,3,4,famincedu,1
SL.ranger.fast_All,0,GERMANY,adcont,all,3,4,famincedu,1
SL.xgboost.fast_All,0,GERMANY,adcont,all,3,4,famincedu,1
