Algo,Weight,Country,Outcome,Group,Rep,Fold,Predictor_Set,Min_Obs
SL.glmnet_All,0.35900818467533846,USA,adcont,all,1,1,predictors010,1
SL.ranger.fast_All,0.45069291500700304,USA,adcont,all,1,1,predictors010,1
SL.xgboost.fast_All,0.1902989003176586,USA,adcont,all,1,1,predictors010,1
SL.glmnet_All,0.3931220320045869,USA,adcont,all,1,2,predictors010,1
SL.ranger.fast_All,0.4234355931908418,USA,adcont,all,1,2,predictors010,1
SL.xgboost.fast_All,0.18344237480457137,USA,adcont,all,1,2,predictors010,1
SL.glmnet_All,0.366687347876614,USA,adcont,all,1,3,predictors010,1
SL.ranger.fast_All,0.39478957999250364,USA,adcont,all,1,3,predictors010,1
SL.xgboost.fast_All,0.2385230721308822,USA,adcont,all,1,3,predictors010,1
SL.glmnet_All,0.3239984705312432,USA,adcont,all,1,4,predictors010,1
SL.ranger.fast_All,0.45017325048769097,USA,adcont,all,1,4,predictors010,1
SL.xgboost.fast_All,0.2258282789810659,USA,adcont,all,1,4,predictors010,1
SL.glmnet_All,0.3684667565373166,USA,adcont,all,1,5,predictors010,1
SL.ranger.fast_All,0.41645421949140343,USA,adcont,all,1,5,predictors010,1
SL.xgboost.fast_All,0.21507902397127987,USA,adcont,all,1,5,predictors010,1
SL.glmnet_All,0.3395740610482132,USA,adcont,all,2,1,predictors010,1
SL.ranger.fast_All,0.44764200139453547,USA,adcont,all,2,1,predictors010,1
SL.xgboost.fast_All,0.21278393755725145,USA,adcont,all,2,1,predictors010,1
SL.glmnet_All,0.3406521112699665,USA,adcont,all,2,2,predictors010,1
SL.ranger.fast_All,0.46566367468139186,USA,adcont,all,2,2,predictors010,1
SL.xgboost.fast_All,0.1936842140486417,USA,adcont,all,2,2,predictors010,1
SL.glmnet_All,0.2878084300861836,USA,adcont,all,2,3,predictors010,1
SL.ranger.fast_All,0.5322938618776882,USA,adcont,all,2,3,predictors010,1
