Algo,Weight,Country,Outcome,Group,Rep,Fold,Predictor_Set,Min_Obs
SL.glmnet_All,0,USA,bottom50,childtop20,1,1,famincedu,1
SL.ranger.fast_All,1,USA,bottom50,childtop20,1,1,famincedu,1
SL.xgboost.fast_All,0,USA,bottom50,childtop20,1,1,famincedu,1
SL.glmnet_All,0.3286234788860717,USA,bottom50,childtop20,1,2,famincedu,1
SL.ranger.fast_All,0.6502263324472255,USA,bottom50,childtop20,1,2,famincedu,1
SL.xgboost.fast_All,0.021150188666702777,USA,bottom50,childtop20,1,2,famincedu,1
SL.glmnet_All,0.47203953190160564,USA,bottom50,childtop20,1,3,famincedu,1
SL.ranger.fast_All,0.5279604680983943,USA,bottom50,childtop20,1,3,famincedu,1
SL.xgboost.fast_All,0,USA,bottom50,childtop20,1,3,famincedu,1
SL.glmnet_All,0.4596712495232104,USA,bottom50,childtop20,1,4,famincedu,1
SL.ranger.fast_All,0.5403287504767895,USA,bottom50,childtop20,1,4,famincedu,1
SL.xgboost.fast_All,0,USA,bottom50,childtop20,1,4,famincedu,1
SL.glmnet_All,0.15099799435176106,USA,bottom50,childtop20,1,5,famincedu,1
SL.ranger.fast_All,0.849002005648239,USA,bottom50,childtop20,1,5,famincedu,1
SL.xgboost.fast_All,0,USA,bottom50,childtop20,1,5,famincedu,1
SL.glmnet_All,0.21805355429118714,USA,bottom50,childtop20,2,1,famincedu,1
SL.ranger.fast_All,0.7819464457088129,USA,bottom50,childtop20,2,1,famincedu,1
SL.xgboost.fast_All,0,USA,bottom50,childtop20,2,1,famincedu,1
SL.glmnet_All,1,USA,bottom50,childtop20,2,2,famincedu,1
SL.ranger.fast_All,0,USA,bottom50,childtop20,2,2,famincedu,1
SL.xgboost.fast_All,0,USA,bottom50,childtop20,2,2,famincedu,1
SL.glmnet_All,0.48004346405740617,USA,bottom50,childtop20,2,3,famincedu,1
SL.ranger.fast_All,0.5199565359425938,USA,bottom50,childtop20,2,3,famincedu,1
SL.xgboost.fast_All,0,USA,bottom50,childtop20,2,3,famincedu,1
SL.glmnet_All,0.1677153316636156,USA,bottom50,childtop20,2,4,famincedu,1
SL.ranger.fast_All,0.8322846683363845,USA,bottom50,childtop20,2,4,famincedu,1
SL.xgboost.fast_All,0,USA,bottom50,childtop20,2,4,famincedu,1
SL.glmnet_All,0.45741016205073254,USA,bottom50,childtop20,2,5,famincedu,1
SL.ranger.fast_All,0.33422379346326686,USA,bottom50,childtop20,2,5,famincedu,1
SL.xgboost.fast_All,0.20836604448600055,USA,bottom50,childtop20,2,5,famincedu,1
SL.glmnet_All,0.749827215293085,USA,bottom50,childtop20,3,1,famincedu,1
SL.ranger.fast_All,0.2501727847069149,USA,bottom50,childtop20,3,1,famincedu,1
SL.xgboost.fast_All,0,USA,bottom50,childtop20,3,1,famincedu,1
SL.glmnet_All,0.3060023462999297,USA,bottom50,childtop20,3,2,famincedu,1
SL.ranger.fast_All,0.6226106451545294,USA,bottom50,childtop20,3,2,famincedu,1
SL.xgboost.fast_All,0.071387008545541,USA,bottom50,childtop20,3,2,famincedu,1
SL.glmnet_All,0.6767017040685611,USA,bottom50,childtop20,3,3,famincedu,1
SL.ranger.fast_All,0.3232982959314389,USA,bottom50,childtop20,3,3,famincedu,1
SL.xgboost.fast_All,0,USA,bottom50,childtop20,3,3,famincedu,1
SL.glmnet_All,0.42259687599977314,USA,bottom50,childtop20,3,4,famincedu,1
SL.ranger.fast_All,0.5774031240002268,USA,bottom50,childtop20,3,4,famincedu,1
SL.xgboost.fast_All,0,USA,bottom50,childtop20,3,4,famincedu,1
