Algo,Weight,Country,Outcome,Group,Rep,Fold,Predictor_Set,Min_Obs
SL.glmnet_All,0.6959168549856609,USA,bottom50,childtop20,1,1,predictors017,1
SL.ranger.fast_All,0.2745490419419144,USA,bottom50,childtop20,1,1,predictors017,1
SL.xgboost.fast_All,0.02953410307242477,USA,bottom50,childtop20,1,1,predictors017,1
SL.glmnet_All,0.4252261979058175,USA,bottom50,childtop20,1,2,predictors017,1
SL.ranger.fast_All,0.44053408301413044,USA,bottom50,childtop20,1,2,predictors017,1
SL.xgboost.fast_All,0.13423971908005203,USA,bottom50,childtop20,1,2,predictors017,1
SL.glmnet_All,0.6832337561247386,USA,bottom50,childtop20,1,3,predictors017,1
SL.ranger.fast_All,0.3167662438752614,USA,bottom50,childtop20,1,3,predictors017,1
SL.xgboost.fast_All,0,USA,bottom50,childtop20,1,3,predictors017,1
SL.glmnet_All,0.5690923127746399,USA,bottom50,childtop20,1,4,predictors017,1
SL.ranger.fast_All,0.2620721608193446,USA,bottom50,childtop20,1,4,predictors017,1
SL.xgboost.fast_All,0.16883552640601548,USA,bottom50,childtop20,1,4,predictors017,1
SL.glmnet_All,0.36288384268440854,USA,bottom50,childtop20,1,5,predictors017,1
SL.ranger.fast_All,0.6371161573155916,USA,bottom50,childtop20,1,5,predictors017,1
SL.xgboost.fast_All,0,USA,bottom50,childtop20,1,5,predictors017,1
SL.glmnet_All,0.5943503033247992,USA,bottom50,childtop20,2,1,predictors017,1
SL.ranger.fast_All,0.353789481639949,USA,bottom50,childtop20,2,1,predictors017,1
SL.xgboost.fast_All,0.05186021503525191,USA,bottom50,childtop20,2,1,predictors017,1
SL.glmnet_All,0.6648371818696898,USA,bottom50,childtop20,2,2,predictors017,1
SL.ranger.fast_All,0.29232343296334695,USA,bottom50,childtop20,2,2,predictors017,1
SL.xgboost.fast_All,0.04283938516696333,USA,bottom50,childtop20,2,2,predictors017,1
SL.glmnet_All,0.6741191326054633,USA,bottom50,childtop20,2,3,predictors017,1
SL.ranger.fast_All,0.25842751504331274,USA,bottom50,childtop20,2,3,predictors017,1
SL.xgboost.fast_All,0.06745335235122396,USA,bottom50,childtop20,2,3,predictors017,1
SL.glmnet_All,0.7199429030584774,USA,bottom50,childtop20,2,4,predictors017,1
SL.ranger.fast_All,0.2559072142068601,USA,bottom50,childtop20,2,4,predictors017,1
SL.xgboost.fast_All,0.024149882734662648,USA,bottom50,childtop20,2,4,predictors017,1
SL.glmnet_All,0.7000496773205623,USA,bottom50,childtop20,2,5,predictors017,1
SL.ranger.fast_All,0.2999503226794376,USA,bottom50,childtop20,2,5,predictors017,1
SL.xgboost.fast_All,0,USA,bottom50,childtop20,2,5,predictors017,1
SL.glmnet_All,0.5345156438587587,USA,bottom50,childtop20,3,1,predictors017,1
SL.ranger.fast_All,0.40297660350821235,USA,bottom50,childtop20,3,1,predictors017,1
SL.xgboost.fast_All,0.06250775263302893,USA,bottom50,childtop20,3,1,predictors017,1
SL.glmnet_All,0.7685662137875765,USA,bottom50,childtop20,3,2,predictors017,1
SL.ranger.fast_All,0.1724320789668781,USA,bottom50,childtop20,3,2,predictors017,1
SL.xgboost.fast_All,0.059001707245545404,USA,bottom50,childtop20,3,2,predictors017,1
SL.glmnet_All,0.5535667243894927,USA,bottom50,childtop20,3,3,predictors017,1
SL.ranger.fast_All,0.4352763697778835,USA,bottom50,childtop20,3,3,predictors017,1
SL.xgboost.fast_All,0.011156905832623864,USA,bottom50,childtop20,3,3,predictors017,1
SL.glmnet_All,0.6398307354688798,USA,bottom50,childtop20,3,4,predictors017,1
SL.ranger.fast_All,0.34892057349804767,USA,bottom50,childtop20,3,4,predictors017,1
SL.xgboost.fast_All,0.011248691033072567,USA,bottom50,childtop20,3,4,predictors017,1
SL.glmnet_All,0.8223912255860711,USA,bottom50,childtop20,3,5,predictors017,1
SL.ranger.fast_All,0.13629747130936254,USA,bottom50,childtop20,3,5,predictors017,1
SL.xgboost.fast_All,0.04131130310456635,USA,bottom50,childtop20,3,5,predictors017,1
SL.glmnet_All,0.8900539744756419,GERMANY,bottom50,childtop20,1,1,predictors017,1
SL.ranger.fast_All,0,GERMANY,bottom50,childtop20,1,1,predictors017,1
SL.xgboost.fast_All,0.10994602552435803,GERMANY,bottom50,childtop20,1,1,predictors017,1
SL.glmnet_All,0.6386780413339199,GERMANY,bottom50,childtop20,1,2,predictors017,1
SL.ranger.fast_All,0.20077406351924146,GERMANY,bottom50,childtop20,1,2,predictors017,1
SL.xgboost.fast_All,0.1605478951468385,GERMANY,bottom50,childtop20,1,2,predictors017,1
SL.glmnet_All,0.377508503495936,GERMANY,bottom50,childtop20,1,3,predictors017,1
SL.ranger.fast_All,0.32063077027368636,GERMANY,bottom50,childtop20,1,3,predictors017,1
SL.xgboost.fast_All,0.30186072623037746,GERMANY,bottom50,childtop20,1,3,predictors017,1
SL.glmnet_All,0.5120346081778547,GERMANY,bottom50,childtop20,1,4,predictors017,1
SL.ranger.fast_All,0.34818099344082626,GERMANY,bottom50,childtop20,1,4,predictors017,1
SL.xgboost.fast_All,0.13978439838131887,GERMANY,bottom50,childtop20,1,4,predictors017,1
SL.glmnet_All,0.7440029651944693,GERMANY,bottom50,childtop20,1,5,predictors017,1
SL.ranger.fast_All,0,GERMANY,bottom50,childtop20,1,5,predictors017,1
SL.xgboost.fast_All,0.2559970348055308,GERMANY,bottom50,childtop20,1,5,predictors017,1
SL.glmnet_All,0.6954040054060336,GERMANY,bottom50,childtop20,2,1,predictors017,1
SL.ranger.fast_All,0.19254093768425778,GERMANY,bottom50,childtop20,2,1,predictors017,1
SL.xgboost.fast_All,0.11205505690970861,GERMANY,bottom50,childtop20,2,1,predictors017,1
SL.glmnet_All,0.7165812336897568,GERMANY,bottom50,childtop20,2,2,predictors017,1
SL.ranger.fast_All,0.05218533464363114,GERMANY,bottom50,childtop20,2,2,predictors017,1
SL.xgboost.fast_All,0.2312334316666121,GERMANY,bottom50,childtop20,2,2,predictors017,1
SL.glmnet_All,0.5347950140182385,GERMANY,bottom50,childtop20,2,3,predictors017,1
SL.ranger.fast_All,0.19472958639901228,GERMANY,bottom50,childtop20,2,3,predictors017,1
SL.xgboost.fast_All,0.2704753995827492,GERMANY,bottom50,childtop20,2,3,predictors017,1
SL.glmnet_All,0.5157039769725542,GERMANY,bottom50,childtop20,2,4,predictors017,1
SL.ranger.fast_All,0.3496011748743376,GERMANY,bottom50,childtop20,2,4,predictors017,1
SL.xgboost.fast_All,0.13469484815310803,GERMANY,bottom50,childtop20,2,4,predictors017,1
SL.glmnet_All,0.6572833495048094,GERMANY,bottom50,childtop20,2,5,predictors017,1
SL.ranger.fast_All,0.3265590106508925,GERMANY,bottom50,childtop20,2,5,predictors017,1
SL.xgboost.fast_All,0.016157639844298088,GERMANY,bottom50,childtop20,2,5,predictors017,1
SL.glmnet_All,0.6288338029999567,GERMANY,bottom50,childtop20,3,1,predictors017,1
SL.ranger.fast_All,0.16712986697357768,GERMANY,bottom50,childtop20,3,1,predictors017,1
