Algo,Weight,Country,Outcome,Group,Rep,Fold,Predictor_Set,Min_Obs
SL.glmnet_All,0.5035889753319235,USA,education,all,1,1,famincedu,1
SL.ranger.fast_All,0.29055555055370097,USA,education,all,1,1,famincedu,1
SL.xgboost.fast_All,0.20585547411437552,USA,education,all,1,1,famincedu,1
SL.glmnet_All,0.6252857785283118,USA,education,all,1,2,famincedu,1
SL.ranger.fast_All,0.09070085200725253,USA,education,all,1,2,famincedu,1
SL.xgboost.fast_All,0.2840133694644357,USA,education,all,1,2,famincedu,1
SL.glmnet_All,0.5768704079229454,USA,education,all,1,3,famincedu,1
SL.ranger.fast_All,0.16203202935792269,USA,education,all,1,3,famincedu,1
SL.xgboost.fast_All,0.26109756271913187,USA,education,all,1,3,famincedu,1
SL.glmnet_All,0.7295262766724291,USA,education,all,1,4,famincedu,1
SL.ranger.fast_All,0.270473723327571,USA,education,all,1,4,famincedu,1
SL.xgboost.fast_All,0,USA,education,all,1,4,famincedu,1
SL.glmnet_All,0.5628523566881537,USA,education,all,1,5,famincedu,1
SL.ranger.fast_All,0.07583877294682992,USA,education,all,1,5,famincedu,1
SL.xgboost.fast_All,0.36130887036501635,USA,education,all,1,5,famincedu,1
SL.glmnet_All,0.44860691433954597,USA,education,all,2,1,famincedu,1
SL.ranger.fast_All,0.3282229065375197,USA,education,all,2,1,famincedu,1
SL.xgboost.fast_All,0.22317017912293433,USA,education,all,2,1,famincedu,1
SL.glmnet_All,0.7114480228062142,USA,education,all,2,2,famincedu,1
SL.ranger.fast_All,0,USA,education,all,2,2,famincedu,1
SL.xgboost.fast_All,0.2885519771937856,USA,education,all,2,2,famincedu,1
SL.glmnet_All,0.6108789592181013,USA,education,all,2,3,famincedu,1
SL.ranger.fast_All,0,USA,education,all,2,3,famincedu,1
SL.xgboost.fast_All,0.3891210407818986,USA,education,all,2,3,famincedu,1
SL.glmnet_All,0.48283232689443084,USA,education,all,2,4,famincedu,1
SL.ranger.fast_All,0.25521494279768403,USA,education,all,2,4,famincedu,1
SL.xgboost.fast_All,0.2619527303078851,USA,education,all,2,4,famincedu,1
SL.glmnet_All,0.6780388340710634,USA,education,all,2,5,famincedu,1
SL.ranger.fast_All,0.2659600622879799,USA,education,all,2,5,famincedu,1
SL.xgboost.fast_All,0.05600110364095672,USA,education,all,2,5,famincedu,1
SL.glmnet_All,0.4572905305516816,USA,education,all,3,1,famincedu,1
SL.ranger.fast_All,0.2521512393220406,USA,education,all,3,1,famincedu,1
SL.xgboost.fast_All,0.29055823012627774,USA,education,all,3,1,famincedu,1
SL.glmnet_All,0.5428479538868184,USA,education,all,3,2,famincedu,1
SL.ranger.fast_All,0,USA,education,all,3,2,famincedu,1
SL.xgboost.fast_All,0.45715204611318166,USA,education,all,3,2,famincedu,1
SL.glmnet_All,0.5609261327773513,USA,education,all,3,3,famincedu,1
SL.ranger.fast_All,0.054619776816666084,USA,education,all,3,3,famincedu,1
SL.xgboost.fast_All,0.38445409040598266,USA,education,all,3,3,famincedu,1
SL.glmnet_All,0.6416884990951461,USA,education,all,3,4,famincedu,1
SL.ranger.fast_All,0.09360495232566228,USA,education,all,3,4,famincedu,1
SL.xgboost.fast_All,0.2647065485791916,USA,education,all,3,4,famincedu,1
SL.glmnet_All,0.6446256960876603,USA,education,all,3,5,famincedu,1
SL.ranger.fast_All,0.08813120531394152,USA,education,all,3,5,famincedu,1
SL.xgboost.fast_All,0.2672430985983983,USA,education,all,3,5,famincedu,1
SL.glmnet_All,0.6839684497715557,GERMANY,education,all,1,1,famincedu,1
SL.ranger.fast_All,0.3160315502284444,GERMANY,education,all,1,1,famincedu,1
SL.xgboost.fast_All,0,GERMANY,education,all,1,1,famincedu,1
SL.glmnet_All,0.8364511716207149,GERMANY,education,all,1,2,famincedu,1
