Algo,Weight,Country,Outcome,Group,Rep,Fold,Predictor_Set,Min_Obs
SL.glmnet_All,0.37349405681654446,USA,education,all,1,1,predictors010,1
SL.ranger.fast_All,0.5324739885748876,USA,education,all,1,1,predictors010,1
SL.xgboost.fast_All,0.09403195460856782,USA,education,all,1,1,predictors010,1
SL.glmnet_All,0.3962614221778686,USA,education,all,1,2,predictors010,1
SL.ranger.fast_All,0.5044597607995072,USA,education,all,1,2,predictors010,1
SL.xgboost.fast_All,0.0992788170226243,USA,education,all,1,2,predictors010,1
SL.glmnet_All,0.38993887710837355,USA,education,all,1,3,predictors010,1
SL.ranger.fast_All,0.5414777156425542,USA,education,all,1,3,predictors010,1
SL.xgboost.fast_All,0.06858340724907219,USA,education,all,1,3,predictors010,1
SL.glmnet_All,0.3541814914533279,USA,education,all,1,4,predictors010,1
SL.ranger.fast_All,0.5278378675449439,USA,education,all,1,4,predictors010,1
SL.xgboost.fast_All,0.11798064100172825,USA,education,all,1,4,predictors010,1
SL.glmnet_All,0.4116533871358155,USA,education,all,1,5,predictors010,1
SL.ranger.fast_All,0.5439740668818738,USA,education,all,1,5,predictors010,1
SL.xgboost.fast_All,0.04437254598231057,USA,education,all,1,5,predictors010,1
SL.glmnet_All,0.34388519926060196,USA,education,all,2,1,predictors010,1
SL.ranger.fast_All,0.5574606980651166,USA,education,all,2,1,predictors010,1
SL.xgboost.fast_All,0.09865410267428153,USA,education,all,2,1,predictors010,1
SL.glmnet_All,0.38187092786995036,USA,education,all,2,2,predictors010,1
SL.ranger.fast_All,0.49289465229085927,USA,education,all,2,2,predictors010,1
SL.xgboost.fast_All,0.12523441983919043,USA,education,all,2,2,predictors010,1
SL.glmnet_All,0.380245030326981,USA,education,all,2,3,predictors010,1
SL.ranger.fast_All,0.531665471866363,USA,education,all,2,3,predictors010,1
SL.xgboost.fast_All,0.08808949780665598,USA,education,all,2,3,predictors010,1
SL.glmnet_All,0.3931697537977004,USA,education,all,2,4,predictors010,1
SL.ranger.fast_All,0.49945054492409335,USA,education,all,2,4,predictors010,1
