Algo,Weight,Country,Outcome,Group,Rep,Fold,Predictor_Set,Min_Obs
SL.glmnet_All,0.7909378007257839,USA,poverty,all,1,1,famincedu,1
SL.ranger.fast_All,0.20906219927421618,USA,poverty,all,1,1,famincedu,1
SL.xgboost.fast_All,0,USA,poverty,all,1,1,famincedu,1
SL.glmnet_All,0.8945110686805028,USA,poverty,all,1,2,famincedu,1
SL.ranger.fast_All,0,USA,poverty,all,1,2,famincedu,1
SL.xgboost.fast_All,0.1054889313194973,USA,poverty,all,1,2,famincedu,1
SL.glmnet_All,0.7341575314493405,USA,poverty,all,1,3,famincedu,1
SL.ranger.fast_All,0,USA,poverty,all,1,3,famincedu,1
SL.xgboost.fast_All,0.26584246855065946,USA,poverty,all,1,3,famincedu,1
SL.glmnet_All,0.690355319099233,USA,poverty,all,1,4,famincedu,1
SL.ranger.fast_All,0.05936102692133901,USA,poverty,all,1,4,famincedu,1
SL.xgboost.fast_All,0.25028365397942803,USA,poverty,all,1,4,famincedu,1
SL.glmnet_All,0.7621635029152574,USA,poverty,all,1,5,famincedu,1
SL.ranger.fast_All,0.14070015954244455,USA,poverty,all,1,5,famincedu,1
SL.xgboost.fast_All,0.09713633754229804,USA,poverty,all,1,5,famincedu,1
SL.glmnet_All,0.682136049649611,USA,poverty,all,2,1,famincedu,1
SL.ranger.fast_All,0.19208054418731602,USA,poverty,all,2,1,famincedu,1
SL.xgboost.fast_All,0.12578340616307288,USA,poverty,all,2,1,famincedu,1
SL.glmnet_All,0.9290650134333652,USA,poverty,all,2,2,famincedu,1
SL.ranger.fast_All,0,USA,poverty,all,2,2,famincedu,1
SL.xgboost.fast_All,0.07093498656663474,USA,poverty,all,2,2,famincedu,1
SL.glmnet_All,0.7810346173570122,USA,poverty,all,2,3,famincedu,1
SL.ranger.fast_All,0.08343317710558829,USA,poverty,all,2,3,famincedu,1
SL.xgboost.fast_All,0.13553220553739945,USA,poverty,all,2,3,famincedu,1
SL.glmnet_All,0.8271220774242066,USA,poverty,all,2,4,famincedu,1
SL.ranger.fast_All,0,USA,poverty,all,2,4,famincedu,1
SL.xgboost.fast_All,0.17287792257579337,USA,poverty,all,2,4,famincedu,1
SL.glmnet_All,1,USA,poverty,all,2,5,famincedu,1
SL.ranger.fast_All,0,USA,poverty,all,2,5,famincedu,1
SL.xgboost.fast_All,0,USA,poverty,all,2,5,famincedu,1
SL.glmnet_All,0.8014786931266213,USA,poverty,all,3,1,famincedu,1
SL.ranger.fast_All,0.10933684333987385,USA,poverty,all,3,1,famincedu,1
SL.xgboost.fast_All,0.08918446353350483,USA,poverty,all,3,1,famincedu,1
SL.glmnet_All,0.6846246973571553,USA,poverty,all,3,2,famincedu,1
SL.ranger.fast_All,0.31537530264284463,USA,poverty,all,3,2,famincedu,1
SL.xgboost.fast_All,0,USA,poverty,all,3,2,famincedu,1
SL.glmnet_All,0.8739782915521871,USA,poverty,all,3,3,famincedu,1
SL.ranger.fast_All,0,USA,poverty,all,3,3,famincedu,1
SL.xgboost.fast_All,0.12602170844781282,USA,poverty,all,3,3,famincedu,1
SL.glmnet_All,0.8218216509479271,USA,poverty,all,3,4,famincedu,1
SL.ranger.fast_All,0,USA,poverty,all,3,4,famincedu,1
SL.xgboost.fast_All,0.17817834905207283,USA,poverty,all,3,4,famincedu,1
SL.glmnet_All,0.9877881593733302,USA,poverty,all,3,5,famincedu,1
SL.ranger.fast_All,0,USA,poverty,all,3,5,famincedu,1
SL.xgboost.fast_All,0.012211840626669813,USA,poverty,all,3,5,famincedu,1
SL.glmnet_All,0.8605388542348731,GERMANY,poverty,all,1,1,famincedu,1
SL.ranger.fast_All,0.13946114576512694,GERMANY,poverty,all,1,1,famincedu,1
SL.xgboost.fast_All,0,GERMANY,poverty,all,1,1,famincedu,1
SL.glmnet_All,0.9361347176141718,GERMANY,poverty,all,1,2,famincedu,1
SL.ranger.fast_All,0,GERMANY,poverty,all,1,2,famincedu,1
SL.xgboost.fast_All,0.06386528238582818,GERMANY,poverty,all,1,2,famincedu,1
SL.glmnet_All,0.7547239594568164,GERMANY,poverty,all,1,3,famincedu,1
SL.ranger.fast_All,0.15449039532813946,GERMANY,poverty,all,1,3,famincedu,1
SL.xgboost.fast_All,0.09078564521504422,GERMANY,poverty,all,1,3,famincedu,1
SL.glmnet_All,0.7937005978669393,GERMANY,poverty,all,1,4,famincedu,1
SL.ranger.fast_All,0.06276699464885838,GERMANY,poverty,all,1,4,famincedu,1
SL.xgboost.fast_All,0.14353240748420246,GERMANY,poverty,all,1,4,famincedu,1
SL.glmnet_All,0.93635914691222,GERMANY,poverty,all,1,5,famincedu,1
SL.ranger.fast_All,0.06364085308778003,GERMANY,poverty,all,1,5,famincedu,1
SL.xgboost.fast_All,0,GERMANY,poverty,all,1,5,famincedu,1
SL.glmnet_All,0.6234747389564814,GERMANY,poverty,all,2,1,famincedu,1
SL.ranger.fast_All,0.3765252610435186,GERMANY,poverty,all,2,1,famincedu,1
SL.xgboost.fast_All,0,GERMANY,poverty,all,2,1,famincedu,1
SL.glmnet_All,0.9786786814955674,GERMANY,poverty,all,2,2,famincedu,1
SL.ranger.fast_All,0.021321318504432633,GERMANY,poverty,all,2,2,famincedu,1
SL.xgboost.fast_All,0,GERMANY,poverty,all,2,2,famincedu,1
SL.glmnet_All,1,GERMANY,poverty,all,2,3,famincedu,1
SL.ranger.fast_All,0,GERMANY,poverty,all,2,3,famincedu,1
SL.xgboost.fast_All,0,GERMANY,poverty,all,2,3,famincedu,1
SL.glmnet_All,0.7683849805160551,GERMANY,poverty,all,2,4,famincedu,1
SL.ranger.fast_All,0,GERMANY,poverty,all,2,4,famincedu,1
SL.xgboost.fast_All,0.23161501948394492,GERMANY,poverty,all,2,4,famincedu,1
SL.glmnet_All,0.9027644649213099,GERMANY,poverty,all,2,5,famincedu,1
SL.ranger.fast_All,0.09723553507869011,GERMANY,poverty,all,2,5,famincedu,1
