Algo,Weight,Country,Outcome,Group,Rep,Fold,Predictor_Set,Min_Obs
SL.glmnet_All,0.35568666040844205,USA,poverty,all,1,1,predictors017,1
SL.ranger.fast_All,0.5656766296109581,USA,poverty,all,1,1,predictors017,1
SL.xgboost.fast_All,0.07863670998059973,USA,poverty,all,1,1,predictors017,1
SL.glmnet_All,0.4274499372735023,USA,poverty,all,1,2,predictors017,1
SL.ranger.fast_All,0.524697161436809,USA,poverty,all,1,2,predictors017,1
SL.xgboost.fast_All,0.04785290128968859,USA,poverty,all,1,2,predictors017,1
SL.glmnet_All,0.4539157218310557,USA,poverty,all,1,3,predictors017,1
SL.ranger.fast_All,0.5034542659929946,USA,poverty,all,1,3,predictors017,1
SL.xgboost.fast_All,0.04263001217594975,USA,poverty,all,1,3,predictors017,1
SL.glmnet_All,0.4361945322497401,USA,poverty,all,1,4,predictors017,1
SL.ranger.fast_All,0.4838004199852964,USA,poverty,all,1,4,predictors017,1
SL.xgboost.fast_All,0.08000504776496362,USA,poverty,all,1,4,predictors017,1
SL.glmnet_All,0.37525264962532395,USA,poverty,all,1,5,predictors017,1
SL.ranger.fast_All,0.5703697796817175,USA,poverty,all,1,5,predictors017,1
SL.xgboost.fast_All,0.05437757069295856,USA,poverty,all,1,5,predictors017,1
SL.glmnet_All,0.41896302288279474,USA,poverty,all,2,1,predictors017,1
SL.ranger.fast_All,0.5542869529050949,USA,poverty,all,2,1,predictors017,1
SL.xgboost.fast_All,0.026750024212110396,USA,poverty,all,2,1,predictors017,1
SL.glmnet_All,0.39445603840301124,USA,poverty,all,2,2,predictors017,1
SL.ranger.fast_All,0.5030158108347291,USA,poverty,all,2,2,predictors017,1
SL.xgboost.fast_All,0.10252815076225971,USA,poverty,all,2,2,predictors017,1
SL.glmnet_All,0.3526734800728829,USA,poverty,all,2,3,predictors017,1
SL.ranger.fast_All,0.5391733434112104,USA,poverty,all,2,3,predictors017,1
SL.xgboost.fast_All,0.1081531765159067,USA,poverty,all,2,3,predictors017,1
SL.glmnet_All,0.42465813804695945,USA,poverty,all,2,4,predictors017,1
SL.ranger.fast_All,0.5139352371724538,USA,poverty,all,2,4,predictors017,1
SL.xgboost.fast_All,0.061406624780586734,USA,poverty,all,2,4,predictors017,1
SL.glmnet_All,0.47635631146162494,USA,poverty,all,2,5,predictors017,1
SL.ranger.fast_All,0.4434714933254434,USA,poverty,all,2,5,predictors017,1
SL.xgboost.fast_All,0.08017219521293174,USA,poverty,all,2,5,predictors017,1
SL.glmnet_All,0.44241606801389616,USA,poverty,all,3,1,predictors017,1
SL.ranger.fast_All,0.5218975446920361,USA,poverty,all,3,1,predictors017,1
SL.xgboost.fast_All,0.03568638729406771,USA,poverty,all,3,1,predictors017,1
SL.glmnet_All,0.43736267688009967,USA,poverty,all,3,2,predictors017,1
SL.ranger.fast_All,0.5461223739159016,USA,poverty,all,3,2,predictors017,1
SL.xgboost.fast_All,0.01651494920399883,USA,poverty,all,3,2,predictors017,1
SL.glmnet_All,0.41218838342095754,USA,poverty,all,3,3,predictors017,1
SL.ranger.fast_All,0.5061145412201231,USA,poverty,all,3,3,predictors017,1
SL.xgboost.fast_All,0.08169707535891943,USA,poverty,all,3,3,predictors017,1
SL.glmnet_All,0.4047425547172243,USA,poverty,all,3,4,predictors017,1
SL.ranger.fast_All,0.5050824181256686,USA,poverty,all,3,4,predictors017,1
SL.xgboost.fast_All,0.09017502715710725,USA,poverty,all,3,4,predictors017,1
SL.glmnet_All,0.46135813594690983,USA,poverty,all,3,5,predictors017,1
SL.ranger.fast_All,0.4367617734388311,USA,poverty,all,3,5,predictors017,1
SL.xgboost.fast_All,0.10188009061425914,USA,poverty,all,3,5,predictors017,1
SL.glmnet_All,0.5674977272568269,GERMANY,poverty,all,1,1,predictors017,1
SL.ranger.fast_All,0.3629228281018441,GERMANY,poverty,all,1,1,predictors017,1
SL.xgboost.fast_All,0.06957944464132904,GERMANY,poverty,all,1,1,predictors017,1
SL.glmnet_All,0.6229676949682611,GERMANY,poverty,all,1,2,predictors017,1
SL.ranger.fast_All,0.34364444171194447,GERMANY,poverty,all,1,2,predictors017,1
SL.xgboost.fast_All,0.03338786331979437,GERMANY,poverty,all,1,2,predictors017,1
SL.glmnet_All,0.5463010085376278,GERMANY,poverty,all,1,3,predictors017,1
SL.ranger.fast_All,0.37956742227235923,GERMANY,poverty,all,1,3,predictors017,1
SL.xgboost.fast_All,0.07413156919001308,GERMANY,poverty,all,1,3,predictors017,1
SL.glmnet_All,0.9386066249146491,GERMANY,poverty,all,1,4,predictors017,1
SL.ranger.fast_All,0.05234228998985582,GERMANY,poverty,all,1,4,predictors017,1
SL.xgboost.fast_All,0.009051085095495128,GERMANY,poverty,all,1,4,predictors017,1
SL.glmnet_All,0.43019530207931744,GERMANY,poverty,all,1,5,predictors017,1
SL.ranger.fast_All,0.5698046979206827,GERMANY,poverty,all,1,5,predictors017,1
SL.xgboost.fast_All,0,GERMANY,poverty,all,1,5,predictors017,1
SL.glmnet_All,0.5728189364716476,GERMANY,poverty,all,2,1,predictors017,1
SL.ranger.fast_All,0.3710750717863691,GERMANY,poverty,all,2,1,predictors017,1
SL.xgboost.fast_All,0.05610599174198332,GERMANY,poverty,all,2,1,predictors017,1
SL.glmnet_All,0.4979658165259452,GERMANY,poverty,all,2,2,predictors017,1
SL.ranger.fast_All,0.432722815340982,GERMANY,poverty,all,2,2,predictors017,1
SL.xgboost.fast_All,0.06931136813307276,GERMANY,poverty,all,2,2,predictors017,1
SL.glmnet_All,0.7106536242713815,GERMANY,poverty,all,2,3,predictors017,1
SL.ranger.fast_All,0.2451405352228976,GERMANY,poverty,all,2,3,predictors017,1
SL.xgboost.fast_All,0.044205840505720885,GERMANY,poverty,all,2,3,predictors017,1
SL.glmnet_All,0.7346401621015032,GERMANY,poverty,all,2,4,predictors017,1
SL.ranger.fast_All,0.26535983789849676,GERMANY,poverty,all,2,4,predictors017,1
