Algo,Weight,Country,Outcome,Group,Rep,Fold,Predictor_Set,Min_Obs
SL.glmnet_All,0.4217687793176496,USA,poverty,childbottom20,1,1,famincedu,1
SL.ranger.fast_All,0.5265893998471758,USA,poverty,childbottom20,1,1,famincedu,1
SL.xgboost.fast_All,0.051641820835174566,USA,poverty,childbottom20,1,1,famincedu,1
SL.glmnet_All,0.8739630823958578,USA,poverty,childbottom20,1,2,famincedu,1
SL.ranger.fast_All,0.1260369176041422,USA,poverty,childbottom20,1,2,famincedu,1
SL.xgboost.fast_All,0,USA,poverty,childbottom20,1,2,famincedu,1
SL.glmnet_All,0.65946332608241,USA,poverty,childbottom20,1,3,famincedu,1
SL.ranger.fast_All,0.34053667391759007,USA,poverty,childbottom20,1,3,famincedu,1
SL.xgboost.fast_All,0,USA,poverty,childbottom20,1,3,famincedu,1
SL.glmnet_All,0.9000116584058796,USA,poverty,childbottom20,1,4,famincedu,1
SL.ranger.fast_All,0.09998834159412046,USA,poverty,childbottom20,1,4,famincedu,1
SL.xgboost.fast_All,0,USA,poverty,childbottom20,1,4,famincedu,1
SL.glmnet_All,0.06759982855104042,USA,poverty,childbottom20,1,5,famincedu,1
SL.ranger.fast_All,0.9324001714489595,USA,poverty,childbottom20,1,5,famincedu,1
SL.xgboost.fast_All,0,USA,poverty,childbottom20,1,5,famincedu,1
SL.glmnet_All,0.18298295610313867,USA,poverty,childbottom20,2,1,famincedu,1
SL.ranger.fast_All,0.6401539990723929,USA,poverty,childbottom20,2,1,famincedu,1
SL.xgboost.fast_All,0.17686304482446852,USA,poverty,childbottom20,2,1,famincedu,1
SL.glmnet_All,0.4315221394548472,USA,poverty,childbottom20,2,2,famincedu,1
SL.ranger.fast_All,0.5684778605451528,USA,poverty,childbottom20,2,2,famincedu,1
SL.xgboost.fast_All,0,USA,poverty,childbottom20,2,2,famincedu,1
SL.glmnet_All,0.13041546106123295,USA,poverty,childbottom20,2,3,famincedu,1
SL.ranger.fast_All,0.8695845389387671,USA,poverty,childbottom20,2,3,famincedu,1
SL.xgboost.fast_All,0,USA,poverty,childbottom20,2,3,famincedu,1
SL.glmnet_All,0.25483443270506073,USA,poverty,childbottom20,2,4,famincedu,1
SL.ranger.fast_All,0.7451655672949392,USA,poverty,childbottom20,2,4,famincedu,1
SL.xgboost.fast_All,0,USA,poverty,childbottom20,2,4,famincedu,1
SL.glmnet_All,0.8889327049743304,USA,poverty,childbottom20,2,5,famincedu,1
SL.ranger.fast_All,0.06970873403941313,USA,poverty,childbottom20,2,5,famincedu,1
SL.xgboost.fast_All,0.04135856098625652,USA,poverty,childbottom20,2,5,famincedu,1
SL.glmnet_All,0.2240064056815119,USA,poverty,childbottom20,3,1,famincedu,1
SL.ranger.fast_All,0.7759935943184881,USA,poverty,childbottom20,3,1,famincedu,1
SL.xgboost.fast_All,0,USA,poverty,childbottom20,3,1,famincedu,1
SL.glmnet_All,0.4578304991329206,USA,poverty,childbottom20,3,2,famincedu,1
