Algo,Weight,Country,Outcome,Group,Rep,Fold,Predictor_Set,Min_Obs
SL.glmnet_All,0.45545630221579536,USA,poverty,childbottom20,1,1,predictors017,1
SL.ranger.fast_All,0.48987799202702226,USA,poverty,childbottom20,1,1,predictors017,1
SL.xgboost.fast_All,0.054665705757182353,USA,poverty,childbottom20,1,1,predictors017,1
SL.glmnet_All,0.399072715693173,USA,poverty,childbottom20,1,2,predictors017,1
SL.ranger.fast_All,0.5943037999046289,USA,poverty,childbottom20,1,2,predictors017,1
SL.xgboost.fast_All,0.006623484402198006,USA,poverty,childbottom20,1,2,predictors017,1
SL.glmnet_All,0.4206787754570229,USA,poverty,childbottom20,1,3,predictors017,1
SL.ranger.fast_All,0.5641326166372687,USA,poverty,childbottom20,1,3,predictors017,1
SL.xgboost.fast_All,0.01518860790570831,USA,poverty,childbottom20,1,3,predictors017,1
SL.glmnet_All,0.5513215101445452,USA,poverty,childbottom20,1,4,predictors017,1
SL.ranger.fast_All,0.40827929845050875,USA,poverty,childbottom20,1,4,predictors017,1
SL.xgboost.fast_All,0.04039919140494602,USA,poverty,childbottom20,1,4,predictors017,1
SL.glmnet_All,0.2759052119637181,USA,poverty,childbottom20,1,5,predictors017,1
SL.ranger.fast_All,0.7240947880362819,USA,poverty,childbottom20,1,5,predictors017,1
SL.xgboost.fast_All,0,USA,poverty,childbottom20,1,5,predictors017,1
SL.glmnet_All,0.3832755629047507,USA,poverty,childbottom20,2,1,predictors017,1
SL.ranger.fast_All,0.6167244370952494,USA,poverty,childbottom20,2,1,predictors017,1
SL.xgboost.fast_All,0,USA,poverty,childbottom20,2,1,predictors017,1
SL.glmnet_All,0.3773173056092703,USA,poverty,childbottom20,2,2,predictors017,1
SL.ranger.fast_All,0.5234723478814403,USA,poverty,childbottom20,2,2,predictors017,1
SL.xgboost.fast_All,0.09921034650928948,USA,poverty,childbottom20,2,2,predictors017,1
SL.glmnet_All,0.48940699819924405,USA,poverty,childbottom20,2,3,predictors017,1
SL.ranger.fast_All,0.42952741967550884,USA,poverty,childbottom20,2,3,predictors017,1
SL.xgboost.fast_All,0.08106558212524717,USA,poverty,childbottom20,2,3,predictors017,1
SL.glmnet_All,0.38347522071167617,USA,poverty,childbottom20,2,4,predictors017,1
SL.ranger.fast_All,0.6165247792883237,USA,poverty,childbottom20,2,4,predictors017,1
SL.xgboost.fast_All,0,USA,poverty,childbottom20,2,4,predictors017,1
SL.glmnet_All,0.36160630378747854,USA,poverty,childbottom20,2,5,predictors017,1
SL.ranger.fast_All,0.6383936962125214,USA,poverty,childbottom20,2,5,predictors017,1
SL.xgboost.fast_All,0,USA,poverty,childbottom20,2,5,predictors017,1
SL.glmnet_All,0.4354522921315684,USA,poverty,childbottom20,3,1,predictors017,1
SL.ranger.fast_All,0.5645477078684317,USA,poverty,childbottom20,3,1,predictors017,1
SL.xgboost.fast_All,0,USA,poverty,childbottom20,3,1,predictors017,1
SL.glmnet_All,0.3794031409082088,USA,poverty,childbottom20,3,2,predictors017,1
SL.ranger.fast_All,0.6205968590917912,USA,poverty,childbottom20,3,2,predictors017,1
SL.xgboost.fast_All,0,USA,poverty,childbottom20,3,2,predictors017,1
SL.glmnet_All,0.2923837275401039,USA,poverty,childbottom20,3,3,predictors017,1
SL.ranger.fast_All,0.6659012110957496,USA,poverty,childbottom20,3,3,predictors017,1
SL.xgboost.fast_All,0.04171506136414646,USA,poverty,childbottom20,3,3,predictors017,1
SL.glmnet_All,0.10365997615657477,USA,poverty,childbottom20,3,4,predictors017,1
SL.ranger.fast_All,0.8930543932199576,USA,poverty,childbottom20,3,4,predictors017,1
SL.xgboost.fast_All,0.0032856306234676585,USA,poverty,childbottom20,3,4,predictors017,1
SL.glmnet_All,0.37427348835589136,USA,poverty,childbottom20,3,5,predictors017,1
SL.ranger.fast_All,0.5867950124385738,USA,poverty,childbottom20,3,5,predictors017,1
SL.xgboost.fast_All,0.038931499205534945,USA,poverty,childbottom20,3,5,predictors017,1
SL.glmnet_All,0.20820089583348173,GERMANY,poverty,childbottom20,1,1,predictors017,1
SL.ranger.fast_All,0.7917991041665183,GERMANY,poverty,childbottom20,1,1,predictors017,1
SL.xgboost.fast_All,0,GERMANY,poverty,childbottom20,1,1,predictors017,1
SL.glmnet_All,0.15010316463051054,GERMANY,poverty,childbottom20,1,2,predictors017,1
SL.ranger.fast_All,0.6875420096992725,GERMANY,poverty,childbottom20,1,2,predictors017,1
SL.xgboost.fast_All,0.16235482567021697,GERMANY,poverty,childbottom20,1,2,predictors017,1
SL.glmnet_All,0.44664322806929213,GERMANY,poverty,childbottom20,1,3,predictors017,1
SL.ranger.fast_All,0.5533567719307079,GERMANY,poverty,childbottom20,1,3,predictors017,1
SL.xgboost.fast_All,0,GERMANY,poverty,childbottom20,1,3,predictors017,1
SL.glmnet_All,0.46991482155033504,GERMANY,poverty,childbottom20,1,4,predictors017,1
SL.ranger.fast_All,0.41086225525781744,GERMANY,poverty,childbottom20,1,4,predictors017,1
SL.xgboost.fast_All,0.11922292319184749,GERMANY,poverty,childbottom20,1,4,predictors017,1
SL.glmnet_All,0,GERMANY,poverty,childbottom20,1,5,predictors017,1
SL.ranger.fast_All,0.7158812402473523,GERMANY,poverty,childbottom20,1,5,predictors017,1
SL.xgboost.fast_All,0.2841187597526477,GERMANY,poverty,childbottom20,1,5,predictors017,1
SL.glmnet_All,0.4533654647792422,GERMANY,poverty,childbottom20,2,1,predictors017,1
SL.ranger.fast_All,0.5022783905385845,GERMANY,poverty,childbottom20,2,1,predictors017,1
SL.xgboost.fast_All,0.044356144682173304,GERMANY,poverty,childbottom20,2,1,predictors017,1
SL.glmnet_All,0.5505558649481722,GERMANY,poverty,childbottom20,2,2,predictors017,1
SL.ranger.fast_All,0.44944413505182773,GERMANY,poverty,childbottom20,2,2,predictors017,1
SL.xgboost.fast_All,0,GERMANY,poverty,childbottom20,2,2,predictors017,1
SL.glmnet_All,0.010360432970476507,GERMANY,poverty,childbottom20,2,3,predictors017,1
SL.ranger.fast_All,0.9889396056723411,GERMANY,poverty,childbottom20,2,3,predictors017,1
SL.xgboost.fast_All,6.999613571823718e-4,GERMANY,poverty,childbottom20,2,3,predictors017,1
SL.glmnet_All,0.08724693905189547,GERMANY,poverty,childbottom20,2,4,predictors017,1
SL.ranger.fast_All,0.6657911455743002,GERMANY,poverty,childbottom20,2,4,predictors017,1
SL.xgboost.fast_All,0.2469619153738043,GERMANY,poverty,childbottom20,2,4,predictors017,1
SL.glmnet_All,0,GERMANY,poverty,childbottom20,2,5,predictors017,1
SL.ranger.fast_All,1,GERMANY,poverty,childbottom20,2,5,predictors017,1
SL.xgboost.fast_All,0,GERMANY,poverty,childbottom20,2,5,predictors017,1
SL.glmnet_All,0.6050174625169753,GERMANY,poverty,childbottom20,3,1,predictors017,1
