Algo,Weight,Country,Outcome,Group,Rep,Fold,Predictor_Set,Min_Obs
SL.glmnet_All,0.5984339716699681,USA,top10,all,1,1,famincedu,1
SL.ranger.fast_All,0.28289241582765035,USA,top10,all,1,1,famincedu,1
SL.xgboost.fast_All,0.11867361250238158,USA,top10,all,1,1,famincedu,1
SL.glmnet_All,0.6952215020594962,USA,top10,all,1,2,famincedu,1
SL.ranger.fast_All,0,USA,top10,all,1,2,famincedu,1
SL.xgboost.fast_All,0.3047784979405039,USA,top10,all,1,2,famincedu,1
SL.glmnet_All,0.9020504879181621,USA,top10,all,1,3,famincedu,1
SL.ranger.fast_All,0,USA,top10,all,1,3,famincedu,1
SL.xgboost.fast_All,0.09794951208183796,USA,top10,all,1,3,famincedu,1
SL.glmnet_All,0.6677850599101138,USA,top10,all,1,4,famincedu,1
SL.ranger.fast_All,0,USA,top10,all,1,4,famincedu,1
SL.xgboost.fast_All,0.3322149400898862,USA,top10,all,1,4,famincedu,1
SL.glmnet_All,0.9113901380808861,USA,top10,all,1,5,famincedu,1
SL.ranger.fast_All,0.08694093812313211,USA,top10,all,1,5,famincedu,1
SL.xgboost.fast_All,0.0016689237959818257,USA,top10,all,1,5,famincedu,1
SL.glmnet_All,0.9896171736138538,USA,top10,all,2,1,famincedu,1
SL.ranger.fast_All,0.010382826386146288,USA,top10,all,2,1,famincedu,1
SL.xgboost.fast_All,0,USA,top10,all,2,1,famincedu,1
SL.glmnet_All,0.9600083383363748,USA,top10,all,2,2,famincedu,1
SL.ranger.fast_All,0.03999166166362519,USA,top10,all,2,2,famincedu,1
SL.xgboost.fast_All,0,USA,top10,all,2,2,famincedu,1
SL.glmnet_All,0.6173261979761514,USA,top10,all,2,3,famincedu,1
SL.ranger.fast_All,0.3826738020238486,USA,top10,all,2,3,famincedu,1
SL.xgboost.fast_All,0,USA,top10,all,2,3,famincedu,1
SL.glmnet_All,0.7357729095757188,USA,top10,all,2,4,famincedu,1
SL.ranger.fast_All,0,USA,top10,all,2,4,famincedu,1
SL.xgboost.fast_All,0.26422709042428105,USA,top10,all,2,4,famincedu,1
SL.glmnet_All,0.598217431021268,USA,top10,all,2,5,famincedu,1
SL.ranger.fast_All,0.2045884071489375,USA,top10,all,2,5,famincedu,1
SL.xgboost.fast_All,0.19719416182979455,USA,top10,all,2,5,famincedu,1
SL.glmnet_All,0.4926994228808532,USA,top10,all,3,1,famincedu,1
SL.ranger.fast_All,0.08467841242248088,USA,top10,all,3,1,famincedu,1
SL.xgboost.fast_All,0.42262216469666586,USA,top10,all,3,1,famincedu,1
SL.glmnet_All,0.9070296463394301,USA,top10,all,3,2,famincedu,1
SL.ranger.fast_All,0.09297035366056984,USA,top10,all,3,2,famincedu,1
SL.xgboost.fast_All,0,USA,top10,all,3,2,famincedu,1
SL.glmnet_All,0.8914937659475692,USA,top10,all,3,3,famincedu,1
SL.ranger.fast_All,0,USA,top10,all,3,3,famincedu,1
SL.xgboost.fast_All,0.10850623405243076,USA,top10,all,3,3,famincedu,1
SL.glmnet_All,0.7444562043583421,USA,top10,all,3,4,famincedu,1
SL.ranger.fast_All,0.025376688673523756,USA,top10,all,3,4,famincedu,1
SL.xgboost.fast_All,0.2301671069681342,USA,top10,all,3,4,famincedu,1
SL.glmnet_All,0.7760737006171387,USA,top10,all,3,5,famincedu,1
SL.ranger.fast_All,0,USA,top10,all,3,5,famincedu,1
SL.xgboost.fast_All,0.22392629938286143,USA,top10,all,3,5,famincedu,1
SL.glmnet_All,0.8238882560025611,GERMANY,top10,all,1,1,famincedu,1
SL.ranger.fast_All,0.051345708825910046,GERMANY,top10,all,1,1,famincedu,1
SL.xgboost.fast_All,0.12476603517152889,GERMANY,top10,all,1,1,famincedu,1
