Algo,Weight,Country,Outcome,Group,Rep,Fold,Predictor_Set,Min_Obs
SL.glmnet_All,0.7422585975472166,USA,top10,all,1,1,predictors010,1
SL.ranger.fast_All,0.07420321121268258,USA,top10,all,1,1,predictors010,1
SL.xgboost.fast_All,0.1835381912401008,USA,top10,all,1,1,predictors010,1
SL.glmnet_All,0.843871831051743,USA,top10,all,1,2,predictors010,1
SL.ranger.fast_All,0.04996390962561314,USA,top10,all,1,2,predictors010,1
SL.xgboost.fast_All,0.1061642593226438,USA,top10,all,1,2,predictors010,1
SL.glmnet_All,0.7130900526327132,USA,top10,all,1,3,predictors010,1
SL.ranger.fast_All,0.15749428101924542,USA,top10,all,1,3,predictors010,1
SL.xgboost.fast_All,0.1294156663480415,USA,top10,all,1,3,predictors010,1
SL.glmnet_All,0.7804026417973166,USA,top10,all,1,4,predictors010,1
SL.ranger.fast_All,0.04382134007283292,USA,top10,all,1,4,predictors010,1
SL.xgboost.fast_All,0.17577601812985047,USA,top10,all,1,4,predictors010,1
SL.glmnet_All,0.6927820004718361,USA,top10,all,1,5,predictors010,1
SL.ranger.fast_All,0.05240057665758102,USA,top10,all,1,5,predictors010,1
SL.xgboost.fast_All,0.2548174228705829,USA,top10,all,1,5,predictors010,1
SL.glmnet_All,0.7345827151380557,USA,top10,all,2,1,predictors010,1
SL.ranger.fast_All,0.1649861343676608,USA,top10,all,2,1,predictors010,1
SL.xgboost.fast_All,0.10043115049428353,USA,top10,all,2,1,predictors010,1
SL.glmnet_All,0.7393559756560624,USA,top10,all,2,2,predictors010,1
SL.ranger.fast_All,0.04332896628266135,USA,top10,all,2,2,predictors010,1
SL.xgboost.fast_All,0.21731505806127643,USA,top10,all,2,2,predictors010,1
SL.glmnet_All,0.7003633269941999,USA,top10,all,2,3,predictors010,1
SL.ranger.fast_All,0.08784520322163611,USA,top10,all,2,3,predictors010,1
SL.xgboost.fast_All,0.21179146978416405,USA,top10,all,2,3,predictors010,1
SL.glmnet_All,0.6949377469105408,USA,top10,all,2,4,predictors010,1
SL.ranger.fast_All,0.16871000537448025,USA,top10,all,2,4,predictors010,1
SL.xgboost.fast_All,0.13635224771497892,USA,top10,all,2,4,predictors010,1
SL.glmnet_All,0.7963903318022939,USA,top10,all,2,5,predictors010,1
SL.ranger.fast_All,0.07099478180407513,USA,top10,all,2,5,predictors010,1
SL.xgboost.fast_All,0.1326148863936311,USA,top10,all,2,5,predictors010,1
SL.glmnet_All,0.8252578641192707,USA,top10,all,3,1,predictors010,1
SL.ranger.fast_All,0,USA,top10,all,3,1,predictors010,1
SL.xgboost.fast_All,0.17474213588072932,USA,top10,all,3,1,predictors010,1
SL.glmnet_All,0.7908158736962572,USA,top10,all,3,2,predictors010,1
SL.ranger.fast_All,4.2289147886929133e-4,USA,top10,all,3,2,predictors010,1
SL.xgboost.fast_All,0.2087612348248734,USA,top10,all,3,2,predictors010,1
