Algo,Weight,Country,Outcome,Group,Rep,Fold,Predictor_Set,Min_Obs
SL.glmnet_All,0.5027732316944915,USA,top20,childtop20,1,1,famincedu,1
SL.ranger.fast_All,0.2685488560746622,USA,top20,childtop20,1,1,famincedu,1
SL.xgboost.fast_All,0.22867791223084613,USA,top20,childtop20,1,1,famincedu,1
SL.glmnet_All,0.3357162085166113,USA,top20,childtop20,1,2,famincedu,1
SL.ranger.fast_All,0.6642837914833888,USA,top20,childtop20,1,2,famincedu,1
SL.xgboost.fast_All,0,USA,top20,childtop20,1,2,famincedu,1
SL.glmnet_All,0.5099805848771563,USA,top20,childtop20,1,3,famincedu,1
SL.ranger.fast_All,0.12260092498609818,USA,top20,childtop20,1,3,famincedu,1
SL.xgboost.fast_All,0.36741849013674555,USA,top20,childtop20,1,3,famincedu,1
SL.glmnet_All,0.7433849106310859,USA,top20,childtop20,1,4,famincedu,1
SL.ranger.fast_All,0.2566150893689142,USA,top20,childtop20,1,4,famincedu,1
SL.xgboost.fast_All,0,USA,top20,childtop20,1,4,famincedu,1
SL.glmnet_All,0.05152083045501006,USA,top20,childtop20,1,5,famincedu,1
SL.ranger.fast_All,0.8994251004348337,USA,top20,childtop20,1,5,famincedu,1
SL.xgboost.fast_All,0.049054069110156286,USA,top20,childtop20,1,5,famincedu,1
SL.glmnet_All,0.8274858244626178,USA,top20,childtop20,2,1,famincedu,1
SL.ranger.fast_All,0.17251417553738227,USA,top20,childtop20,2,1,famincedu,1
SL.xgboost.fast_All,0,USA,top20,childtop20,2,1,famincedu,1
SL.glmnet_All,0.506263450330893,USA,top20,childtop20,2,2,famincedu,1
SL.ranger.fast_All,0.4937365496691069,USA,top20,childtop20,2,2,famincedu,1
SL.xgboost.fast_All,0,USA,top20,childtop20,2,2,famincedu,1
SL.glmnet_All,0.06678273919632385,USA,top20,childtop20,2,3,famincedu,1
SL.ranger.fast_All,0.9332172608036762,USA,top20,childtop20,2,3,famincedu,1
SL.xgboost.fast_All,0,USA,top20,childtop20,2,3,famincedu,1
SL.glmnet_All,0.8941295376719071,USA,top20,childtop20,2,4,famincedu,1
SL.ranger.fast_All,0,USA,top20,childtop20,2,4,famincedu,1
SL.xgboost.fast_All,0.10587046232809284,USA,top20,childtop20,2,4,famincedu,1
SL.glmnet_All,0.18557942939313643,USA,top20,childtop20,2,5,famincedu,1
SL.ranger.fast_All,0.8144205706068635,USA,top20,childtop20,2,5,famincedu,1
SL.xgboost.fast_All,0,USA,top20,childtop20,2,5,famincedu,1
SL.glmnet_All,1,USA,top20,childtop20,3,1,famincedu,1
SL.ranger.fast_All,0,USA,top20,childtop20,3,1,famincedu,1
SL.xgboost.fast_All,0,USA,top20,childtop20,3,1,famincedu,1
SL.glmnet_All,0.9976807682251103,USA,top20,childtop20,3,2,famincedu,1
SL.ranger.fast_All,0.0023192317748896873,USA,top20,childtop20,3,2,famincedu,1
SL.xgboost.fast_All,0,USA,top20,childtop20,3,2,famincedu,1
SL.glmnet_All,0.490927783172436,USA,top20,childtop20,3,3,famincedu,1
SL.ranger.fast_All,0.509072216827564,USA,top20,childtop20,3,3,famincedu,1
SL.xgboost.fast_All,0,USA,top20,childtop20,3,3,famincedu,1
SL.glmnet_All,0.3476812718343346,USA,top20,childtop20,3,4,famincedu,1
SL.ranger.fast_All,0.286643472361119,USA,top20,childtop20,3,4,famincedu,1
SL.xgboost.fast_All,0.3656752558045465,USA,top20,childtop20,3,4,famincedu,1
SL.glmnet_All,1,USA,top20,childtop20,3,5,famincedu,1
SL.ranger.fast_All,0,USA,top20,childtop20,3,5,famincedu,1
SL.xgboost.fast_All,0,USA,top20,childtop20,3,5,famincedu,1
SL.glmnet_All,0.8974883178214343,GERMANY,top20,childtop20,1,1,famincedu,1
SL.ranger.fast_All,0,GERMANY,top20,childtop20,1,1,famincedu,1
SL.xgboost.fast_All,0.1025116821785656,GERMANY,top20,childtop20,1,1,famincedu,1
SL.glmnet_All,0.742487934680896,GERMANY,top20,childtop20,1,2,famincedu,1
SL.ranger.fast_All,0.008020572322157386,GERMANY,top20,childtop20,1,2,famincedu,1
SL.xgboost.fast_All,0.2494914929969466,GERMANY,top20,childtop20,1,2,famincedu,1
SL.glmnet_All,0.35557765679872044,GERMANY,top20,childtop20,1,3,famincedu,1
SL.ranger.fast_All,0.5729595398474544,GERMANY,top20,childtop20,1,3,famincedu,1
SL.xgboost.fast_All,0.07146280335382527,GERMANY,top20,childtop20,1,3,famincedu,1
SL.glmnet_All,0.32146712134706634,GERMANY,top20,childtop20,1,4,famincedu,1
SL.ranger.fast_All,0.6785328786529337,GERMANY,top20,childtop20,1,4,famincedu,1
SL.xgboost.fast_All,0,GERMANY,top20,childtop20,1,4,famincedu,1
SL.glmnet_All,0.12361721762915179,GERMANY,top20,childtop20,1,5,famincedu,1
SL.ranger.fast_All,0.8763827823708482,GERMANY,top20,childtop20,1,5,famincedu,1
SL.xgboost.fast_All,0,GERMANY,top20,childtop20,1,5,famincedu,1
SL.glmnet_All,0.18282290635084464,GERMANY,top20,childtop20,2,1,famincedu,1
SL.ranger.fast_All,0.6794758827088939,GERMANY,top20,childtop20,2,1,famincedu,1
SL.xgboost.fast_All,0.13770121094026144,GERMANY,top20,childtop20,2,1,famincedu,1
SL.glmnet_All,0.3922794629163096,GERMANY,top20,childtop20,2,2,famincedu,1
SL.ranger.fast_All,0.5603834851201955,GERMANY,top20,childtop20,2,2,famincedu,1
SL.xgboost.fast_All,0.04733705196349486,GERMANY,top20,childtop20,2,2,famincedu,1
SL.glmnet_All,0.8254569271573625,GERMANY,top20,childtop20,2,3,famincedu,1
SL.ranger.fast_All,0,GERMANY,top20,childtop20,2,3,famincedu,1
SL.xgboost.fast_All,0.17454307284263743,GERMANY,top20,childtop20,2,3,famincedu,1
SL.glmnet_All,0.3573055951232532,GERMANY,top20,childtop20,2,4,famincedu,1
SL.ranger.fast_All,0.36733835563530015,GERMANY,top20,childtop20,2,4,famincedu,1
SL.xgboost.fast_All,0.27535604924144647,GERMANY,top20,childtop20,2,4,famincedu,1
SL.glmnet_All,0.12962929489110395,GERMANY,top20,childtop20,2,5,famincedu,1
SL.ranger.fast_All,0.8703707051088961,GERMANY,top20,childtop20,2,5,famincedu,1
SL.xgboost.fast_All,0,GERMANY,top20,childtop20,2,5,famincedu,1
SL.glmnet_All,0,GERMANY,top20,childtop20,3,1,famincedu,1
SL.ranger.fast_All,0.976311525948648,GERMANY,top20,childtop20,3,1,famincedu,1
SL.xgboost.fast_All,0.023688474051351948,GERMANY,top20,childtop20,3,1,famincedu,1
SL.glmnet_All,0.5374669578098732,GERMANY,top20,childtop20,3,2,famincedu,1
SL.ranger.fast_All,0,GERMANY,top20,childtop20,3,2,famincedu,1
SL.xgboost.fast_All,0.4625330421901268,GERMANY,top20,childtop20,3,2,famincedu,1
SL.glmnet_All,0.11419583069580079,GERMANY,top20,childtop20,3,3,famincedu,1
SL.ranger.fast_All,0.7710335178473147,GERMANY,top20,childtop20,3,3,famincedu,1
SL.xgboost.fast_All,0.11477065145688464,GERMANY,top20,childtop20,3,3,famincedu,1
SL.glmnet_All,0.6475110538073355,GERMANY,top20,childtop20,3,4,famincedu,1
SL.ranger.fast_All,0,GERMANY,top20,childtop20,3,4,famincedu,1
SL.xgboost.fast_All,0.3524889461926645,GERMANY,top20,childtop20,3,4,famincedu,1
SL.glmnet_All,0.18305930445350135,GERMANY,top20,childtop20,3,5,famincedu,1
SL.ranger.fast_All,0.8169406955464986,GERMANY,top20,childtop20,3,5,famincedu,1
SL.xgboost.fast_All,0,GERMANY,top20,childtop20,3,5,famincedu,1
SL.glmnet_All,0.8530624590344914,AUSTRALIA,top20,childtop20,1,1,famincedu,1
SL.ranger.fast_All,0,AUSTRALIA,top20,childtop20,1,1,famincedu,1
SL.xgboost.fast_All,0.14693754096550862,AUSTRALIA,top20,childtop20,1,1,famincedu,1
SL.glmnet_All,1,AUSTRALIA,top20,childtop20,1,2,famincedu,1
SL.ranger.fast_All,0,AUSTRALIA,top20,childtop20,1,2,famincedu,1
SL.xgboost.fast_All,0,AUSTRALIA,top20,childtop20,1,2,famincedu,1
SL.glmnet_All,0.13150086310291811,AUSTRALIA,top20,childtop20,1,3,famincedu,1
SL.ranger.fast_All,0.8188483783200986,AUSTRALIA,top20,childtop20,1,3,famincedu,1
SL.xgboost.fast_All,0.04965075857698326,AUSTRALIA,top20,childtop20,1,3,famincedu,1
SL.glmnet_All,0.8377935963522316,AUSTRALIA,top20,childtop20,1,4,famincedu,1
SL.ranger.fast_All,0.16220640364776834,AUSTRALIA,top20,childtop20,1,4,famincedu,1
SL.xgboost.fast_All,0,AUSTRALIA,top20,childtop20,1,4,famincedu,1
SL.glmnet_All,1,AUSTRALIA,top20,childtop20,1,5,famincedu,1
SL.ranger.fast_All,0,AUSTRALIA,top20,childtop20,1,5,famincedu,1
SL.xgboost.fast_All,0,AUSTRALIA,top20,childtop20,1,5,famincedu,1
SL.glmnet_All,0.8704359227127662,AUSTRALIA,top20,childtop20,2,1,famincedu,1
SL.ranger.fast_All,0.086342360203865,AUSTRALIA,top20,childtop20,2,1,famincedu,1
SL.xgboost.fast_All,0.04322171708336877,AUSTRALIA,top20,childtop20,2,1,famincedu,1
SL.glmnet_All,0.9827747060575205,AUSTRALIA,top20,childtop20,2,2,famincedu,1
SL.ranger.fast_All,0.017225293942479465,AUSTRALIA,top20,childtop20,2,2,famincedu,1
SL.xgboost.fast_All,0,AUSTRALIA,top20,childtop20,2,2,famincedu,1
SL.glmnet_All,0.853750879156458,AUSTRALIA,top20,childtop20,2,3,famincedu,1
SL.ranger.fast_All,0.11753596078482628,AUSTRALIA,top20,childtop20,2,3,famincedu,1
SL.xgboost.fast_All,0.028713160058715742,AUSTRALIA,top20,childtop20,2,3,famincedu,1
SL.glmnet_All,0.47343241684646387,AUSTRALIA,top20,childtop20,2,4,famincedu,1
SL.ranger.fast_All,0.2724905621460755,AUSTRALIA,top20,childtop20,2,4,famincedu,1
SL.xgboost.fast_All,0.25407702100746066,AUSTRALIA,top20,childtop20,2,4,famincedu,1
SL.glmnet_All,0.8490123830256896,AUSTRALIA,top20,childtop20,2,5,famincedu,1
SL.ranger.fast_All,0.15098761697431037,AUSTRALIA,top20,childtop20,2,5,famincedu,1
SL.xgboost.fast_All,0,AUSTRALIA,top20,childtop20,2,5,famincedu,1
SL.glmnet_All,0.6360416023460869,AUSTRALIA,top20,childtop20,3,1,famincedu,1
SL.ranger.fast_All,0.3639583976539133,AUSTRALIA,top20,childtop20,3,1,famincedu,1
SL.xgboost.fast_All,0,AUSTRALIA,top20,childtop20,3,1,famincedu,1
SL.glmnet_All,0.5056557255082315,AUSTRALIA,top20,childtop20,3,2,famincedu,1
SL.ranger.fast_All,0.4943442744917685,AUSTRALIA,top20,childtop20,3,2,famincedu,1
SL.xgboost.fast_All,0,AUSTRALIA,top20,childtop20,3,2,famincedu,1
SL.glmnet_All,0.873690280208018,AUSTRALIA,top20,childtop20,3,3,famincedu,1
SL.ranger.fast_All,0.12630971979198205,AUSTRALIA,top20,childtop20,3,3,famincedu,1
SL.xgboost.fast_All,0,AUSTRALIA,top20,childtop20,3,3,famincedu,1
SL.glmnet_All,1,AUSTRALIA,top20,childtop20,3,4,famincedu,1
SL.ranger.fast_All,0,AUSTRALIA,top20,childtop20,3,4,famincedu,1
SL.xgboost.fast_All,0,AUSTRALIA,top20,childtop20,3,4,famincedu,1
SL.glmnet_All,0.1856895737788904,AUSTRALIA,top20,childtop20,3,5,famincedu,1
SL.ranger.fast_All,0.8143104262211096,AUSTRALIA,top20,childtop20,3,5,famincedu,1
SL.xgboost.fast_All,0,AUSTRALIA,top20,childtop20,3,5,famincedu,1
SL.glmnet_All,0.4897125570975055,KOREA,top20,childtop20,1,1,famincedu,1
SL.ranger.fast_All,0,KOREA,top20,childtop20,1,1,famincedu,1
SL.xgboost.fast_All,0.5102874429024944,KOREA,top20,childtop20,1,1,famincedu,1
SL.glmnet_All,0.8770384494434373,KOREA,top20,childtop20,1,2,famincedu,1
SL.ranger.fast_All,7.613440794669403e-4,KOREA,top20,childtop20,1,2,famincedu,1
SL.xgboost.fast_All,0.12220020647709572,KOREA,top20,childtop20,1,2,famincedu,1
SL.glmnet_All,0.7779143191010426,KOREA,top20,childtop20,1,3,famincedu,1
SL.ranger.fast_All,0,KOREA,top20,childtop20,1,3,famincedu,1
SL.xgboost.fast_All,0.22208568089895753,KOREA,top20,childtop20,1,3,famincedu,1
SL.glmnet_All,0,KOREA,top20,childtop20,1,4,famincedu,1
SL.ranger.fast_All,1,KOREA,top20,childtop20,1,4,famincedu,1
SL.xgboost.fast_All,0,KOREA,top20,childtop20,1,4,famincedu,1
SL.glmnet_All,0,KOREA,top20,childtop20,1,5,famincedu,1
SL.ranger.fast_All,1,KOREA,top20,childtop20,1,5,famincedu,1
SL.xgboost.fast_All,0,KOREA,top20,childtop20,1,5,famincedu,1
SL.glmnet_All,0.3846566717234902,KOREA,top20,childtop20,2,1,famincedu,1
SL.ranger.fast_All,0.5142769362166898,KOREA,top20,childtop20,2,1,famincedu,1
SL.xgboost.fast_All,0.10106639205982003,KOREA,top20,childtop20,2,1,famincedu,1
SL.glmnet_All,0.5948932986316405,KOREA,top20,childtop20,2,2,famincedu,1
SL.ranger.fast_All,0.4051067013683594,KOREA,top20,childtop20,2,2,famincedu,1
SL.xgboost.fast_All,0,KOREA,top20,childtop20,2,2,famincedu,1
SL.glmnet_All,1,KOREA,top20,childtop20,2,3,famincedu,1
SL.ranger.fast_All,0,KOREA,top20,childtop20,2,3,famincedu,1
SL.xgboost.fast_All,0,KOREA,top20,childtop20,2,3,famincedu,1
SL.glmnet_All,0.08123466891709408,KOREA,top20,childtop20,2,4,famincedu,1
SL.ranger.fast_All,0.9187653310829059,KOREA,top20,childtop20,2,4,famincedu,1
SL.xgboost.fast_All,0,KOREA,top20,childtop20,2,4,famincedu,1
SL.glmnet_All,0,KOREA,top20,childtop20,2,5,famincedu,1
SL.ranger.fast_All,0.6967217389270767,KOREA,top20,childtop20,2,5,famincedu,1
SL.xgboost.fast_All,0.3032782610729234,KOREA,top20,childtop20,2,5,famincedu,1
SL.glmnet_All,0.17435349523632804,KOREA,top20,childtop20,3,1,famincedu,1
SL.ranger.fast_All,0.825646504763672,KOREA,top20,childtop20,3,1,famincedu,1
SL.xgboost.fast_All,0,KOREA,top20,childtop20,3,1,famincedu,1
SL.glmnet_All,0.8217941517540667,KOREA,top20,childtop20,3,2,famincedu,1
SL.ranger.fast_All,0.17820584824593338,KOREA,top20,childtop20,3,2,famincedu,1
SL.xgboost.fast_All,0,KOREA,top20,childtop20,3,2,famincedu,1
SL.glmnet_All,0,KOREA,top20,childtop20,3,3,famincedu,1
SL.ranger.fast_All,0.6732999806194803,KOREA,top20,childtop20,3,3,famincedu,1
SL.xgboost.fast_All,0.32670001938051974,KOREA,top20,childtop20,3,3,famincedu,1
SL.glmnet_All,0,KOREA,top20,childtop20,3,4,famincedu,1
SL.ranger.fast_All,1,KOREA,top20,childtop20,3,4,famincedu,1
