Algo,Weight,Country,Outcome,Group,Rep,Fold,Predictor_Set,Min_Obs
SL.glmnet_All,0.4783405543799029,USA,top20,childtop20,1,1,predictors017,1
SL.ranger.fast_All,0.45782479324666964,USA,top20,childtop20,1,1,predictors017,1
SL.xgboost.fast_All,0.06383465237342743,USA,top20,childtop20,1,1,predictors017,1
SL.glmnet_All,0.5704138364544669,USA,top20,childtop20,1,2,predictors017,1
SL.ranger.fast_All,0.35100334349781137,USA,top20,childtop20,1,2,predictors017,1
SL.xgboost.fast_All,0.0785828200477218,USA,top20,childtop20,1,2,predictors017,1
SL.glmnet_All,0.5052494522133434,USA,top20,childtop20,1,3,predictors017,1
SL.ranger.fast_All,0.3787212040767228,USA,top20,childtop20,1,3,predictors017,1
SL.xgboost.fast_All,0.11602934370993383,USA,top20,childtop20,1,3,predictors017,1
SL.glmnet_All,0.271447111627885,USA,top20,childtop20,1,4,predictors017,1
SL.ranger.fast_All,0.6892277065503393,USA,top20,childtop20,1,4,predictors017,1
SL.xgboost.fast_All,0.03932518182177583,USA,top20,childtop20,1,4,predictors017,1
SL.glmnet_All,0.5348944971957302,USA,top20,childtop20,1,5,predictors017,1
SL.ranger.fast_All,0.422378613252052,USA,top20,childtop20,1,5,predictors017,1
SL.xgboost.fast_All,0.04272688955221779,USA,top20,childtop20,1,5,predictors017,1
SL.glmnet_All,0.33816904701818584,USA,top20,childtop20,2,1,predictors017,1
SL.ranger.fast_All,0.5873089870735669,USA,top20,childtop20,2,1,predictors017,1
SL.xgboost.fast_All,0.07452196590824724,USA,top20,childtop20,2,1,predictors017,1
SL.glmnet_All,0.5182237812024613,USA,top20,childtop20,2,2,predictors017,1
SL.ranger.fast_All,0.4076643740557018,USA,top20,childtop20,2,2,predictors017,1
SL.xgboost.fast_All,0.07411184474183706,USA,top20,childtop20,2,2,predictors017,1
SL.glmnet_All,0.5088905368623006,USA,top20,childtop20,2,3,predictors017,1
SL.ranger.fast_All,0.41928236576454697,USA,top20,childtop20,2,3,predictors017,1
SL.xgboost.fast_All,0.07182709737315235,USA,top20,childtop20,2,3,predictors017,1
SL.glmnet_All,0.574447698625321,USA,top20,childtop20,2,4,predictors017,1
SL.ranger.fast_All,0.2790827426417824,USA,top20,childtop20,2,4,predictors017,1
SL.xgboost.fast_All,0.14646955873289674,USA,top20,childtop20,2,4,predictors017,1
SL.glmnet_All,0.48896230516253475,USA,top20,childtop20,2,5,predictors017,1
SL.ranger.fast_All,0.4558830333345419,USA,top20,childtop20,2,5,predictors017,1
SL.xgboost.fast_All,0.05515466150292343,USA,top20,childtop20,2,5,predictors017,1
SL.glmnet_All,0.4234642202288234,USA,top20,childtop20,3,1,predictors017,1
SL.ranger.fast_All,0.49700469273680525,USA,top20,childtop20,3,1,predictors017,1
SL.xgboost.fast_All,0.07953108703437135,USA,top20,childtop20,3,1,predictors017,1
SL.glmnet_All,0.6606666068884219,USA,top20,childtop20,3,2,predictors017,1
SL.ranger.fast_All,0.21986873098038265,USA,top20,childtop20,3,2,predictors017,1
SL.xgboost.fast_All,0.1194646621311953,USA,top20,childtop20,3,2,predictors017,1
SL.glmnet_All,0.4681821765102084,USA,top20,childtop20,3,3,predictors017,1
SL.ranger.fast_All,0.4757047329474676,USA,top20,childtop20,3,3,predictors017,1
SL.xgboost.fast_All,0.056113090542323926,USA,top20,childtop20,3,3,predictors017,1
SL.glmnet_All,0.5587023478355708,USA,top20,childtop20,3,4,predictors017,1
SL.ranger.fast_All,0.3780585948967573,USA,top20,childtop20,3,4,predictors017,1
SL.xgboost.fast_All,0.06323905726767189,USA,top20,childtop20,3,4,predictors017,1
SL.glmnet_All,0.47954315668588343,USA,top20,childtop20,3,5,predictors017,1
SL.ranger.fast_All,0.5204568433141166,USA,top20,childtop20,3,5,predictors017,1
SL.xgboost.fast_All,0,USA,top20,childtop20,3,5,predictors017,1
SL.glmnet_All,0.7012416903799372,GERMANY,top20,childtop20,1,1,predictors017,1
SL.ranger.fast_All,0,GERMANY,top20,childtop20,1,1,predictors017,1
SL.xgboost.fast_All,0.2987583096200629,GERMANY,top20,childtop20,1,1,predictors017,1
SL.glmnet_All,0.7732780771634237,GERMANY,top20,childtop20,1,2,predictors017,1
SL.ranger.fast_All,0.017850505798578675,GERMANY,top20,childtop20,1,2,predictors017,1
