Algo,Weight,Country,Outcome,Group,Rep,Fold,Predictor_Set,Min_Obs
SL.glmnet_All,0.2045164871400285,USA,top50,childbottom20,1,1,famincedu,1
SL.ranger.fast_All,0.7954835128599715,USA,top50,childbottom20,1,1,famincedu,1
SL.xgboost.fast_All,0,USA,top50,childbottom20,1,1,famincedu,1
SL.glmnet_All,0.12744199085119806,USA,top50,childbottom20,1,2,famincedu,1
SL.ranger.fast_All,0.872558009148802,USA,top50,childbottom20,1,2,famincedu,1
SL.xgboost.fast_All,0,USA,top50,childbottom20,1,2,famincedu,1
SL.glmnet_All,0.6792470392953489,USA,top50,childbottom20,1,3,famincedu,1
SL.ranger.fast_All,0.3207529607046511,USA,top50,childbottom20,1,3,famincedu,1
SL.xgboost.fast_All,0,USA,top50,childbottom20,1,3,famincedu,1
SL.glmnet_All,0.4757498947121269,USA,top50,childbottom20,1,4,famincedu,1
SL.ranger.fast_All,0.5242501052878731,USA,top50,childbottom20,1,4,famincedu,1
SL.xgboost.fast_All,0,USA,top50,childbottom20,1,4,famincedu,1
SL.glmnet_All,0.15541521561210347,USA,top50,childbottom20,1,5,famincedu,1
SL.ranger.fast_All,0.8445847843878964,USA,top50,childbottom20,1,5,famincedu,1
SL.xgboost.fast_All,0,USA,top50,childbottom20,1,5,famincedu,1
SL.glmnet_All,0.3565260882114105,USA,top50,childbottom20,2,1,famincedu,1
SL.ranger.fast_All,0.6434739117885895,USA,top50,childbottom20,2,1,famincedu,1
SL.xgboost.fast_All,0,USA,top50,childbottom20,2,1,famincedu,1
SL.glmnet_All,0.38264853434778806,USA,top50,childbottom20,2,2,famincedu,1
SL.ranger.fast_All,0.6173514656522119,USA,top50,childbottom20,2,2,famincedu,1
SL.xgboost.fast_All,0,USA,top50,childbottom20,2,2,famincedu,1
SL.glmnet_All,0.7617736483673515,USA,top50,childbottom20,2,3,famincedu,1
SL.ranger.fast_All,0.23822635163264852,USA,top50,childbottom20,2,3,famincedu,1
SL.xgboost.fast_All,0,USA,top50,childbottom20,2,3,famincedu,1
SL.glmnet_All,0.40124435174857026,USA,top50,childbottom20,2,4,famincedu,1
SL.ranger.fast_All,0.5987556482514298,USA,top50,childbottom20,2,4,famincedu,1
SL.xgboost.fast_All,0,USA,top50,childbottom20,2,4,famincedu,1
SL.glmnet_All,0,USA,top50,childbottom20,2,5,famincedu,1
SL.ranger.fast_All,1,USA,top50,childbottom20,2,5,famincedu,1
SL.xgboost.fast_All,0,USA,top50,childbottom20,2,5,famincedu,1
SL.glmnet_All,0.7422127088992624,USA,top50,childbottom20,3,1,famincedu,1
SL.ranger.fast_All,0.2577872911007375,USA,top50,childbottom20,3,1,famincedu,1
SL.xgboost.fast_All,0,USA,top50,childbottom20,3,1,famincedu,1
SL.glmnet_All,0.0020731429611241586,USA,top50,childbottom20,3,2,famincedu,1
SL.ranger.fast_All,0.9979268570388758,USA,top50,childbottom20,3,2,famincedu,1
SL.xgboost.fast_All,0,USA,top50,childbottom20,3,2,famincedu,1
SL.glmnet_All,0.02259542802936149,USA,top50,childbottom20,3,3,famincedu,1
SL.ranger.fast_All,0.9774045719706386,USA,top50,childbottom20,3,3,famincedu,1
SL.xgboost.fast_All,0,USA,top50,childbottom20,3,3,famincedu,1
SL.glmnet_All,0.741699584128485,USA,top50,childbottom20,3,4,famincedu,1
SL.ranger.fast_All,0.25830041587151503,USA,top50,childbottom20,3,4,famincedu,1
SL.xgboost.fast_All,0,USA,top50,childbottom20,3,4,famincedu,1
SL.glmnet_All,0.34899142713750614,USA,top50,childbottom20,3,5,famincedu,1
SL.ranger.fast_All,0.6510085728624938,USA,top50,childbottom20,3,5,famincedu,1
SL.xgboost.fast_All,0,USA,top50,childbottom20,3,5,famincedu,1
SL.glmnet_All,0.5637813053464671,GERMANY,top50,childbottom20,1,1,famincedu,1
SL.ranger.fast_All,0.43621869465353297,GERMANY,top50,childbottom20,1,1,famincedu,1
SL.xgboost.fast_All,0,GERMANY,top50,childbottom20,1,1,famincedu,1
SL.glmnet_All,0.8889365266311768,GERMANY,top50,childbottom20,1,2,famincedu,1
SL.ranger.fast_All,0,GERMANY,top50,childbottom20,1,2,famincedu,1
SL.xgboost.fast_All,0.1110634733688231,GERMANY,top50,childbottom20,1,2,famincedu,1
SL.glmnet_All,0,GERMANY,top50,childbottom20,1,3,famincedu,1
SL.ranger.fast_All,1,GERMANY,top50,childbottom20,1,3,famincedu,1
SL.xgboost.fast_All,0,GERMANY,top50,childbottom20,1,3,famincedu,1
SL.glmnet_All,0.32629673637522294,GERMANY,top50,childbottom20,1,4,famincedu,1
SL.ranger.fast_All,0.6737032636247772,GERMANY,top50,childbottom20,1,4,famincedu,1
SL.xgboost.fast_All,0,GERMANY,top50,childbottom20,1,4,famincedu,1
SL.glmnet_All,0.526740149326016,GERMANY,top50,childbottom20,1,5,famincedu,1
SL.ranger.fast_All,0,GERMANY,top50,childbottom20,1,5,famincedu,1
SL.xgboost.fast_All,0.47325985067398396,GERMANY,top50,childbottom20,1,5,famincedu,1
SL.glmnet_All,0.8042379988983841,GERMANY,top50,childbottom20,2,1,famincedu,1
SL.ranger.fast_All,0.1006452977070448,GERMANY,top50,childbottom20,2,1,famincedu,1
SL.xgboost.fast_All,0.09511670339457115,GERMANY,top50,childbottom20,2,1,famincedu,1
SL.glmnet_All,0.527759516666978,GERMANY,top50,childbottom20,2,2,famincedu,1
SL.ranger.fast_All,0,GERMANY,top50,childbottom20,2,2,famincedu,1
SL.xgboost.fast_All,0.47224048333302204,GERMANY,top50,childbottom20,2,2,famincedu,1
SL.glmnet_All,0.3340590287083316,GERMANY,top50,childbottom20,2,3,famincedu,1
SL.ranger.fast_All,0.6659409712916684,GERMANY,top50,childbottom20,2,3,famincedu,1
SL.xgboost.fast_All,0,GERMANY,top50,childbottom20,2,3,famincedu,1
SL.glmnet_All,0.9691055628382867,GERMANY,top50,childbottom20,2,4,famincedu,1
SL.ranger.fast_All,0,GERMANY,top50,childbottom20,2,4,famincedu,1
SL.xgboost.fast_All,0.0308944371617133,GERMANY,top50,childbottom20,2,4,famincedu,1
SL.glmnet_All,0.8660885677002069,GERMANY,top50,childbottom20,2,5,famincedu,1
SL.ranger.fast_All,0,GERMANY,top50,childbottom20,2,5,famincedu,1
SL.xgboost.fast_All,0.13391143229979313,GERMANY,top50,childbottom20,2,5,famincedu,1
SL.glmnet_All,0,GERMANY,top50,childbottom20,3,1,famincedu,1
SL.ranger.fast_All,1,GERMANY,top50,childbottom20,3,1,famincedu,1
SL.xgboost.fast_All,0,GERMANY,top50,childbottom20,3,1,famincedu,1
SL.glmnet_All,0.6673657934374255,GERMANY,top50,childbottom20,3,2,famincedu,1
SL.ranger.fast_All,0,GERMANY,top50,childbottom20,3,2,famincedu,1
SL.xgboost.fast_All,0.3326342065625746,GERMANY,top50,childbottom20,3,2,famincedu,1
SL.glmnet_All,0.6293578491884894,GERMANY,top50,childbottom20,3,3,famincedu,1
SL.ranger.fast_All,0.3513675532465041,GERMANY,top50,childbottom20,3,3,famincedu,1
SL.xgboost.fast_All,0.019274597565006553,GERMANY,top50,childbottom20,3,3,famincedu,1
SL.glmnet_All,0.6078695256180837,GERMANY,top50,childbottom20,3,4,famincedu,1
SL.ranger.fast_All,0.3921304743819162,GERMANY,top50,childbottom20,3,4,famincedu,1
SL.xgboost.fast_All,0,GERMANY,top50,childbottom20,3,4,famincedu,1
SL.glmnet_All,1,GERMANY,top50,childbottom20,3,5,famincedu,1
SL.ranger.fast_All,0,GERMANY,top50,childbottom20,3,5,famincedu,1
