Algo,Weight,Country,Outcome,Group,Rep,Fold,Predictor_Set,Min_Obs
SL.glmnet_All,0.7650426078516316,USA,top50,childbottom20,1,1,predictors010,1
SL.ranger.fast_All,0.14966317778333915,USA,top50,childbottom20,1,1,predictors010,1
SL.xgboost.fast_All,0.08529421436502943,USA,top50,childbottom20,1,1,predictors010,1
SL.glmnet_All,0.5554241069297591,USA,top50,childbottom20,1,2,predictors010,1
SL.ranger.fast_All,0.3846371782911943,USA,top50,childbottom20,1,2,predictors010,1
SL.xgboost.fast_All,0.0599387147790465,USA,top50,childbottom20,1,2,predictors010,1
SL.glmnet_All,0.5267652251470847,USA,top50,childbottom20,1,3,predictors010,1
SL.ranger.fast_All,0.46623166501705515,USA,top50,childbottom20,1,3,predictors010,1
SL.xgboost.fast_All,0.007003109835860202,USA,top50,childbottom20,1,3,predictors010,1
SL.glmnet_All,0.5162054596631068,USA,top50,childbottom20,1,4,predictors010,1
SL.ranger.fast_All,0.4837945403368932,USA,top50,childbottom20,1,4,predictors010,1
SL.xgboost.fast_All,0,USA,top50,childbottom20,1,4,predictors010,1
SL.glmnet_All,0.4330752833490617,USA,top50,childbottom20,1,5,predictors010,1
SL.ranger.fast_All,0.5029893726504967,USA,top50,childbottom20,1,5,predictors010,1
SL.xgboost.fast_All,0.06393534400044157,USA,top50,childbottom20,1,5,predictors010,1
SL.glmnet_All,0.7589157618020105,USA,top50,childbottom20,2,1,predictors010,1
SL.ranger.fast_All,0.24108423819798952,USA,top50,childbottom20,2,1,predictors010,1
SL.xgboost.fast_All,0,USA,top50,childbottom20,2,1,predictors010,1
SL.glmnet_All,0.6316447453834085,USA,top50,childbottom20,2,2,predictors010,1
SL.ranger.fast_All,0.33338022122854494,USA,top50,childbottom20,2,2,predictors010,1
SL.xgboost.fast_All,0.034975033388046556,USA,top50,childbottom20,2,2,predictors010,1
SL.glmnet_All,0.7783644633631359,USA,top50,childbottom20,2,3,predictors010,1
SL.ranger.fast_All,0.1960690657612994,USA,top50,childbottom20,2,3,predictors010,1
SL.xgboost.fast_All,0.025566470875564754,USA,top50,childbottom20,2,3,predictors010,1
SL.glmnet_All,0.4251602396973667,USA,top50,childbottom20,2,4,predictors010,1
SL.ranger.fast_All,0.5203707829041113,USA,top50,childbottom20,2,4,predictors010,1
SL.xgboost.fast_All,0.05446897739852203,USA,top50,childbottom20,2,4,predictors010,1
SL.glmnet_All,0.3506709891504614,USA,top50,childbottom20,2,5,predictors010,1
SL.ranger.fast_All,0.6493290108495386,USA,top50,childbottom20,2,5,predictors010,1
SL.xgboost.fast_All,0,USA,top50,childbottom20,2,5,predictors010,1
SL.glmnet_All,0.5896250416317077,USA,top50,childbottom20,3,1,predictors010,1
SL.ranger.fast_All,0.29877353057101486,USA,top50,childbottom20,3,1,predictors010,1
SL.xgboost.fast_All,0.11160142779727748,USA,top50,childbottom20,3,1,predictors010,1
SL.glmnet_All,0.5558789924976724,USA,top50,childbottom20,3,2,predictors010,1
SL.ranger.fast_All,0.4441210075023276,USA,top50,childbottom20,3,2,predictors010,1
SL.xgboost.fast_All,0,USA,top50,childbottom20,3,2,predictors010,1
SL.glmnet_All,0.745476366127622,USA,top50,childbottom20,3,3,predictors010,1
SL.ranger.fast_All,0.20923787794327933,USA,top50,childbottom20,3,3,predictors010,1
SL.xgboost.fast_All,0.045285755929098635,USA,top50,childbottom20,3,3,predictors010,1
SL.glmnet_All,0.48799188060622334,USA,top50,childbottom20,3,4,predictors010,1
SL.ranger.fast_All,0.46416366783126106,USA,top50,childbottom20,3,4,predictors010,1
SL.xgboost.fast_All,0.04784445156251562,USA,top50,childbottom20,3,4,predictors010,1
SL.glmnet_All,0.6302385946868798,USA,top50,childbottom20,3,5,predictors010,1
SL.ranger.fast_All,0.2848687592981488,USA,top50,childbottom20,3,5,predictors010,1
SL.xgboost.fast_All,0.08489264601497135,USA,top50,childbottom20,3,5,predictors010,1
SL.glmnet_All,0.8250534214293097,GERMANY,top50,childbottom20,1,1,predictors010,1
SL.ranger.fast_All,0,GERMANY,top50,childbottom20,1,1,predictors010,1
SL.xgboost.fast_All,0.1749465785706904,GERMANY,top50,childbottom20,1,1,predictors010,1
SL.glmnet_All,0.8183352682524248,GERMANY,top50,childbottom20,1,2,predictors010,1
SL.ranger.fast_All,0.1816647317475753,GERMANY,top50,childbottom20,1,2,predictors010,1
SL.xgboost.fast_All,0,GERMANY,top50,childbottom20,1,2,predictors010,1
SL.glmnet_All,0.9417048781359513,GERMANY,top50,childbottom20,1,3,predictors010,1
SL.ranger.fast_All,0.0582951218640487,GERMANY,top50,childbottom20,1,3,predictors010,1
SL.xgboost.fast_All,0,GERMANY,top50,childbottom20,1,3,predictors010,1
SL.glmnet_All,0.8432274758038469,GERMANY,top50,childbottom20,1,4,predictors010,1
SL.ranger.fast_All,0.03185283290202296,GERMANY,top50,childbottom20,1,4,predictors010,1
